"wd_id","wd_id_new","population","name_ar","name_bn","name_de","name_en","name_es","name_fr","name_el","name_hi","name_hu","name_id","name_it","name_ja","name_ko","name_nl","name_pl","name_pt","name_ru","name_sv","name_tr","name_vi","name_zh"
"Q786957","","19056","بوينت فورتين","পয়েন্ট ফোর্টিন","Point Fortin","Point Fortin","Point Fortin","Point Fortin","Πόιντ Φόρτιν","पॉइंट फोर्टिन","","Point Fortin","Point Fortin","ポイント・フォーティン","포인트포르틴","Point Fortin","Point Fortín","Point Fortin","Пойнт-Фортин","Point Fortin","Point Fortin","Point Fortin","波因特福廷"
"Q860913","","","بلدية بوبونارو","বোবোনারো পৌরসভা","Bobonaro","Bobonaro Municipality","Bobonaro","Bobonaro","Μπομπονάρο","बोबोनारो नगर पालिका","","Bobonaro","distretto di Bobonaro","ボボナロ県","보보나루 현","Bobonaro","Dystrykt Bobonaro","Bobonaro","Бобонару","Bobonaro","Bobonaro Belediyesi","Bobonaro","博博納羅縣"
"Q860901","","","بلدية ديلي","দিলি পৌরসভা","Gemeinde Dili","Dili municipality","Dili","Dili","Ντίλι","डिली नगरपालिका","","Díli","distretto di Dili","ディリ県","딜리 현","Dili","Dystrykt Dili","Díli","Дили","Dili","Dili","Dili","帝力縣"
"Q880399","","545904","كاغوازو","কাগুয়াজু","Caaguazú","Caaguazú","Caaguazú","Caaguazú","Κααγουασού","कागुआजु","Caaguazú megye","Departemen Caaguazú","Caaguazú","カアグアスー県","카과수 주","Caaguazú","Caaguazú","Caaguazú","Каагуасу","Caaguazú","Caagazu","Caaguazú","卡瓜蘇省"
"Q860897","","","مقاطعة ليكويتشيا","লিকুইকা পৌরসভা","Liquiçá","Liquiçá Municipality","Liquiçá","Liquiçá","Λικουικά","लिकीसा नगरपालिका","","Liquiçá","distretto di Liquiçá","リキシャ県","리키사 현","Liquiçá","Dystrykt Liquiçá","Liquiçá","Ликиса","Liquiçá","Liquaca Belediyesi","Liquiçá","利逵薩縣"
"Q860639","","","بلدية أويكيوس","ওয়েকুস্যে পৌরসভা","Oecusse","Oecusse Municipality","Oecussi-Ambeno","Oecusse","Οεκούσσε","ओक्सेस नगर पालिका","","Oecussi-Ambeno","Okussi-Ambeno","オエクシ＝アンベノ","오에쿠시 현","Oecusse","Dystrykt Oecusse","Oecusse","Окуси-Амбено","Oecusse","Oecusse Belediyesi","Oecusse","歐庫西-安貝諾縣"
"Q860630","","","مقاطعة ماناتوتو","মানাতুতু জেলা","Manatuto","Manatuto District","Manatuto","Manatuto","Μανατούτο","मनातुतो  जिला","","Manatuto","distretto di Manatuto","マナトゥト県","마나투투 현","Manatuto","Dystrykt Manatuto","Manatuto","Манатуту","Manatutodistriktet","Manatuto District","Manatuto","馬納圖托縣"
"Q811132","","123203","بلدية بوكاو","বাউকাউ পৌরসভা","Baucau","Baucau Municipality","Baucau","Baucau","Μποκό","बौकाऊ नगरपालिका","","Baucau","distretto di Baucau","バウカウ県","바우카우 현","Baucau","Dystrykt Baucau","Baucau","Баукау","Baucau","Baucau Belediyesi","Baucau","包考縣"
"Q819998","","","لوساكا","লুকাকা প্রদেশ","Lusaka","Lusaka Province","Provincia de Lusaka","Province de Lusaka","Λουσάκα","लुसाका प्रांत","","Provinsi Lusaka","provincia di Lusaka","ルサカ州","루사카 주","Lusaka","Prowincja Lusaka","Lusaca","Лусака","Lusaka","Lusaka Bölgesi","Tỉnh Lusaka","卢萨卡省"
"Q39517","","8272724","بارا","প্যাারা","Pará","Pará","Pará","Pará","Παρά","पारा","Pará","Pará","Pará","パラー州","파라 주","Pará","Pará","Pará","Пара","Pará","Pará","Pará","帕拉"
