"wd_id","status","variable","value_old","value_new"
"Q56064","NEWvalue","name_bn","","কোলোনিয়া দেল সাক্রামেন্তো"
"Q56064","NEWvalue","name_el","","Κολόνια ντελ Σακραμέντο"
"Q56064","NEWvalue","name_hu","","Colonia del Sacramento"
"Q56064","NEWvalue","name_it","","Colonia del Sacramento"
"Q56064","NEWvalue","name_ja","","コロニア・デル・サクラメント"
"Q56064","NEWvalue","name_ko","","콜로니아델사크라멘토"
"Q56064","NEWvalue","name_nl","","Colonia del Sacramento"
"Q56064","NEWvalue","name_pl","","Colonia del Sacramento"
"Q56064","MODvalue","name_pt","Colônia do Sacramento","Colónia do Sacramento"
"Q56064","NEWvalue","name_sv","","Colonia del Sacramento"
"Q56064","NEWvalue","name_tr","","Colonia del Sacramento"
"Q56064","NEWvalue","name_vi","","Colonia del Sacramento"
"Q862508","NEWvalue","name_ar","","ترينيداد، أوروغواي"
"Q862508","NEWvalue","name_bn","","ত্রিনিদাদ"
"Q862508","NEWvalue","name_el","","Τρινιντάντ"
"Q862508","NEWvalue","name_hi","","त्रिनिडाड"
"Q862508","NEWvalue","name_id","","Trinidad"
"Q862508","NEWvalue","name_it","","Trinidad"
"Q862508","NEWvalue","name_ja","","トリニダ"
"Q862508","NEWvalue","name_ko","","트리니다드"
"Q862508","NEWvalue","name_nl","","Trinidad"
"Q862508","NEWvalue","name_pl","","Trinidad"
"Q862508","NEWvalue","name_sv","","Trinidad"
"Q862508","NEWvalue","name_tr","","Trinidad"
"Q862508","NEWvalue","name_vi","","Trinidad"
"Q849835","NEWvalue","name_ar","","فراي بنتوس"
"Q849835","NEWvalue","name_bn","","ফ্রায় বেন্তোস"
"Q849835","NEWvalue","name_el","","Φρέι Μπέντος"
"Q849835","NEWvalue","name_hi","","फ्राई बैन्टोस"
"Q849835","NEWvalue","name_id","","Fray Bentos"
"Q849835","NEWvalue","name_it","","Fray Bentos"
"Q849835","NEWvalue","name_ja","","フライ・ベントス"
"Q849835","NEWvalue","name_ko","","프라이벤토스"
"Q849835","NEWvalue","name_nl","","Fray Bentos"
"Q849835","NEWvalue","name_pl","","Fray Bentos"
"Q849835","NEWvalue","name_sv","","Fray Bentos"
"Q849835","NEWvalue","name_tr","","Fray Bentos"
"Q849835","NEWvalue","name_vi","","Fray Bentos"
"Q841342","NEWvalue","name_ar","","كانلونيس"
"Q841342","NEWvalue","name_bn","","কানেলোন্স"
"Q841342","NEWvalue","name_el","","Κανελόνες"
"Q841342","NEWvalue","name_hi","","कैनेलोन्स"
"Q841342","NEWvalue","name_id","","Canelones"
"Q841342","NEWvalue","name_it","","Canelones"
"Q841342","NEWvalue","name_ja","","カネローネス"
"Q841342","NEWvalue","name_ko","","카넬로네스"
"Q841342","NEWvalue","name_nl","","Canelones"
"Q841342","NEWvalue","name_pl","","Canelones"
"Q841342","NEWvalue","name_sv","","Canelones"
"Q841342","NEWvalue","name_tr","","Canelones"
"Q841342","NEWvalue","name_vi","","Canelones"
"Q842472","NEWvalue","name_ar","","فلوريدا، أوروغواي"
"Q842472","NEWvalue","name_bn","","ফ্লোরেিডা"
"Q842472","NEWvalue","name_el","","Φλορίδα"
"Q842472","NEWvalue","name_hi","","फ्लोरिडा"
"Q842472","NEWvalue","name_id","","Florida"
"Q842472","NEWvalue","name_it","","Florida"
"Q842472","NEWvalue","name_ja","","フロリダ"
"Q842472","NEWvalue","name_ko","","플로리다"
"Q842472","NEWvalue","name_nl","","Florida"
"Q842472","NEWvalue","name_pl","","Florida"
"Q842472","NEWvalue","name_sv","","Florida"
"Q842472","NEWvalue","name_tr","","Flordia"
"Q842472","NEWvalue","name_vi","","Florida"
"Q810474","NEWvalue","name_ar","","باسار"
"Q810474","MODvalue","name_de","Bassar (Togo)","Bassar"
"Q810474","NEWvalue","name_hu","","Bassar"
"Q810474","NEWvalue","name_it","","Bassar"
"Q810474","NEWvalue","name_nl","","Bassar"
"Q810474","NEWvalue","name_pl","","Bassar"
"Q1120978","NEWvalue","name_ar","","سوتاوبوا"
"Q1120978","NEWvalue","name_it","","Sotouboua"
"Q1120978","NEWvalue","name_nl","","Sotouboua"
"Q846653","NEWvalue","name_ar","","مدنين"
"Q846653","NEWvalue","name_el","","Μαντανίγιν"
"Q846653","NEWvalue","name_it","","Medenina"
"Q846653","NEWvalue","name_ja","","メドニン"
"Q846653","NEWvalue","name_ko","","메드닌"
"Q846653","NEWvalue","name_nl","","Médenine"
"Q846653","NEWvalue","name_pl","","Madanin"
"Q846653","NEWvalue","name_tr","","Medenin"
"Q27157","NEWvalue","name_ar","","ڨبلي"
"Q27157","NEWvalue","name_el","","Κιμπιλί"
"Q27157","NEWvalue","name_it","","Kébili"
"Q27157","NEWvalue","name_ko","","케빌리"
"Q27157","NEWvalue","name_nl","","Kébili"
"Q27157","NEWvalue","name_pl","","Kibili"
"Q27157","NEWvalue","name_tr","","Kabili"
"Q817149","NEWvalue","name_ar","","تطاوين"
"Q817149","NEWvalue","name_hu","","Tataouine"
"Q817149","NEWvalue","name_it","","Tataouine"
"Q817149","NEWvalue","name_ja","","タタウイヌ"
"Q817149","NEWvalue","name_ko","","타타우인"
"Q817149","NEWvalue","name_nl","","Tataouine"
"Q817149","NEWvalue","name_pl","","Tatawin"
"Q817149","NEWvalue","name_sv","","Tataouine"
"Q817149","NEWvalue","name_tr","","Tatavin"
"Q627487","NEWvalue","name_ar","","أريانة"
"Q627487","NEWvalue","name_bn","","আরিয়া"
"Q627487","NEWvalue","name_el","","Αρυάνα"
"Q627487","NEWvalue","name_hi","","आर्यणाह"
"Q627487","NEWvalue","name_id","","Aryanah"
"Q627487","NEWvalue","name_it","","Ariana"
"Q627487","NEWvalue","name_ja","","アリアナ"
"Q627487","NEWvalue","name_ko","","아리아나"
"Q627487","NEWvalue","name_nl","","Ariana"
"Q627487","NEWvalue","name_pl","","Arjana"
"Q627487","NEWvalue","name_sv","","Ariana"
"Q627487","NEWvalue","name_tr","","Aryana"
"Q627487","NEWvalue","name_vi","","Aryanah"
"Q27064","NEWvalue","name_ar","","جندوبة"
"Q27064","NEWvalue","name_it","","Jendouba"
"Q27064","NEWvalue","name_ja","","ジェンドゥーバ"
"Q27064","NEWvalue","name_ko","","젠두바"
"Q27064","NEWvalue","name_nl","","Jendouba"
"Q27064","NEWvalue","name_tr","","Cendube"
"Q852735","NEWvalue","name_ar","","القصرين"
"Q852735","NEWvalue","name_el","","Αλ Κασράυν"
"Q852735","NEWvalue","name_it","","Kasserine"
"Q852735","NEWvalue","name_ja","","カスリーヌ"
"Q852735","NEWvalue","name_ko","","카세린"
"Q852735","NEWvalue","name_nl","","Kasserine"
"Q852735","NEWvalue","name_pl","","Al-Kasrajn"
"Q852735","NEWvalue","name_sv","","Kasserine"
"Q852735","NEWvalue","name_tr","","Kassarin"
"Q692716","NEWvalue","name_ar","","سيدي بوزيد"
"Q692716","NEWvalue","name_el","","Σίντι Μπου Ζαΰντ"
"Q692716","NEWvalue","name_hu","","Szidi Bú Zid"
"Q692716","NEWvalue","name_it","","Sidi Bouzid"
"Q692716","NEWvalue","name_ja","","シディ・ブジド"
"Q692716","NEWvalue","name_ko","","시디부지드"
"Q692716","NEWvalue","name_nl","","Sidi Bouzid"
"Q692716","NEWvalue","name_pl","","Sidi Bu Zajd"
"Q692716","NEWvalue","name_tr","","Sidi Bu Zeyd"
"Q692716","NEWvalue","name_vi","","Sidi Bouzid"
"Q27216","NEWvalue","name_ar","","سليانة"
"Q27216","NEWvalue","name_el","","Σιλγιάνα"
"Q27216","NEWvalue","name_it","","Siliana"
"Q27216","NEWvalue","name_ko","","실리아나"
"Q27216","NEWvalue","name_nl","","Siliana"
"Q27216","NEWvalue","name_pl","","Siljana"
"Q27216","NEWvalue","name_ru","","Сильяна"
"Q27216","NEWvalue","name_tr","","Silyana"
"Q466054","NEWvalue","name_ar","","المهدية"
