"wd_id","wd_id_new","population","name_ar","name_bn","name_de","name_en","name_es","name_fr","name_el","name_hi","name_hu","name_id","name_it","name_ja","name_ko","name_nl","name_pl","name_pt","name_ru","name_sv","name_tr","name_vi","name_zh"
"Q466054","","79545","المهدية","মাদিয়া","Mahdia","Mahdia","Mahdia","Mahdia","Αλ Μαντίγια","मेहदिया","","Mahdia","Mahdia","マーディア","마디아","Mahdia","Al-Mahdija","Mahdia","Махдия","Mahdia","Mehdiye","Mahdia","马赫迪耶"
"Q430470","","","فاتيك","ফ্যাটিক","Fatick","Fatick","Fatick","Fatick","Φατίκ","फटीक","","Fatick","Fatick","ファティック","파티크","Fatick","Fatick","Região de Fatick","Фатик","Fatick","Fatick","Fatick","法蒂克"
"Q520338","","78780","ناخون باتوم","নাখন পাথম","Nakhon Pathom","Nakhon Pathom","Nakhon Pathom","Nakhon Pathom","Νάκον Πάθομ","नाखोन पाथॉम","","Nakhon Pathom","Nakhon Pathom","ナコーンパトム","나콘빠톰","Nakhon Pathom","Nakhon Pathom","Nakhon Pathom","Накхонпатхом","Nakhon Pathom","Nakhon Pathom","Nakhon Pathom","佛统"
"Q524553","","","تو داو موت","","Thủ Dầu Một","Thu Dau Mot","","Thủ Dầu Một","","","","","Thủ Dầu Một","トゥーザウモット","투저우못","Thủ Dầu Một","Thủ Dầu Một","","Тхузаумот","Thu Dau Mot","","Thủ Dầu Một","土龍木市"
"Q627487","","114486","أريانة","আরিয়া","Ariana","Aryanah","Ariana","Ariana","Αρυάνα","आर्यणाह","","Aryanah","Ariana","アリアナ","아리아나","Ariana","Arjana","Ariana","Арьяна","Ariana","Aryana","Aryanah","艾尔亚奈"
"Q622819","","","بورتاليغري","পোর্টালেগ্রি","Portalegre","Portalegre","Portalegre","Portalegre","Πορταλέγκρε","पोर्ट्लेगरे","","Portugal","Portalegre","ポルタレグレ","포르탈레그르","Portalegre","Portalegre","Portalegre","Порталегри","Portalegre","Portalegre","Portalegre","波塔萊格雷"
"Q750594","","","غوآردا","গোয়ারডা","Guarda","Guarda","Guarda","Guarda","Γκουάρντα","गार्डा","","Guarda","Guarda","グアルダ","구아르다","Guarda","Guarda","Guarda","Гуарда","Guarda","Guarda","Guarda","瓜爾達"
"Q743005","","6526","ماي هونغ سون","","Mae Hong Son","Mae Hong Son","","Mae Hong Son","","","","","Mae Hong Son","","매홍손","Mae Hong Son","","Mae Hong Son","Мэхонгсон","","","Mae Hong Son","湄宏順市"
"Q842472","","","فلوريدا، أوروغواي","ফ্লোরেিডা","Florida","Florida","Florida","Florida","Φλορίδα","फ्लोरिडा","","Florida","Florida","フロリダ","플로리다","Florida","Florida","Florida","Флорида","Florida","Flordia","Florida","佛羅里達"
"Q841342","","19865","كانلونيس","কানেলোন্স","Canelones","Canelones","Canelones","Canelones","Κανελόνες","कैनेलोन्स","","Canelones","Canelones","カネローネス","카넬로네스","Canelones","Canelones","Canelones","Канелонес","Canelones","Canelones","Canelones","卡內洛內斯"
"Q862508","","","ترينيداد، أوروغواي","ত্রিনিদাদ","Trinidad","Trinidad","Trinidad","Trinidad","Τρινιντάντ","त्रिनिडाड","","Trinidad","Trinidad","トリニダ","트리니다드","Trinidad","Trinidad","Trinidad","Тринидад","Trinidad","Trinidad","Trinidad","特立尼達"
"Q849835","","","فراي بنتوس","ফ্রায় বেন্তোস","Fray Bentos","Fray Bentos","Fray Bentos","Fray Bentos","Φρέι Μπέντος","फ्राई बैन्टोस","","Fray Bentos","Fray Bentos","フライ・ベントス","프라이벤토스","Fray Bentos","Fray Bentos","Fray Bentos","Фрай-Бентос","Fray Bentos","Fray Bentos","Fray Bentos","弗賴本托斯"
"Q986301","","","جيريمي","জেরেমি","Jérémie","Jérémie","Jérémie","Jérémie","Ζέρεμι","जेरेमी","","Jérémie","Jérémie","ジェレミー","제레미","Jérémie","Jérémie","Jeremias","Жереми","Jérémie","Jeremie","Jeremie","熱雷米"
"Q923362","","","جاكميل","জ্যাকমেল","Jacmel","Jacmel","Jacmel","Jacmel","Τζακμέλ","जकमेल","","Jacmel","Jacmel","ジャクメル","자크멜","Jacmel","Jacmel","Jacmel","Жакмель","Jacmel","Jacmel","Jacmel","雅克梅勒"
"Q993851","","","هنش","হিঞ্চি","Hinche","Hinche","Hincha","Hinche","Χίντσε","हिंच","","Hinche","Hinche","アンシュ","앵슈","Hinche","Hinche","Hinche","Энш","Hinche","Hinche","Hinche","安什"
"Q1000353","","30499","","","Krabi","Krabi","Krabi","Krabi","Κράμπι","","Krabi","Krabi","Krabi","クラビー","끄라비","Krabi","Krabi","Krabi","Краби","Krabi","","Krabi","甲米"
"Q1025830","","34580","أكوتال","ওকোটাল","Ocotal","Ocotal","Ocotal","Ocotal","Όκοταλ","ओकॉटल","Ocotal","Ocotal","Ocotal","オコタル","오코탈","Ocotal","Ocotal","Ocotal","Окоталь","Ocotal","Ocotal","Ocotal","奧科塔爾"
"Q1034096","","","كاو بانغ","কাও ব্যাং","Cao Bằng","Cao Bằng","Cao Bằng","","Κάο Μπάνγκ","काओ बैंग","","Cao Bằng","Cao Bằng","カオバン","까오방","Cao Bằng","Cao Bằng","Cao Bằng","Каобанг","Cao Bang","Cao Bang","Cao Bằng","高平市"
"Q1010954","","","سوموتو، نيكاراغوا","সমোতো","Somoto","Somoto","Somoto","Somoto","Σομότο","सोमोटो","","Somoto","Somoto","ソモト","소모토","Somoto","Somoto","Somoto","Сомото","Somoto","Somoto","Somoto","索莫托"
"Q1012440","","16125","","","Ranong","Ranong","","Ranong","","","","","Ranong","","라농","Ranong","","","Ранонг","Ranong","","Ranong","拉廊"
"Q1446993","","101970","دهانغادي","ধানগাদি","Dhangadhi","Dhangadhi","Dhangarhi","Dhangadhi","Ντχανγκάντχι","धनगढ़ी","","Dhangadhi","Dhangadhi","ダンガルヒ","당하디","Dhangadhi","Dhangadhi","Dhangadhi","Дхангадхи","Dhangadhi","Dhangadhi","Dhangadhi","丹加地"
"Q1729098","","11396","جوسكاران","ইউস্কারান","Yuscarán","Yuscarán","Yuscarán","Yuscarán","Γιουσκαράν","युस्कारण","","Yuscarán","Yuscarán","ユスカラン","유스카란","Yuscarán","Yuscarán","Yuscarán","Юскаран","Yuscarán","Yuscaran","Yuscaran","尤斯卡蘭"
"Q992776","","","","","Kibungo","Kibungo","","Kibungo","Κιμπούνγκο","","","","Kibungo","キブンゴ","키붕고","Kibungo","Kibungo","Kibungo","Кибунго","","Kibungo","",""
"Q6093787","","","","","","","","","","","","","","","","","","","","","An Nabk","",""
"Q595853","","16195","","","Nakhon Nayok","Nakhon Nayok","","Nakhon Nayok","","","","","Nakhon Nayok","","나콘나욕","Nakhon Nayok","","","Накхоннайок","","","",""
"Q530241","","13277","أنغ ثونغ","","Ang Thong","Ang Thong","Ang Thong","Ang Thong","","","","","Ang Thong","","앙통","Ang Thong","Ang Thong","Ang Thong","Ангтхонг","","","",""
"Q1026368","","39570","","","Chachoengsao","Chachoengsao","","Chachoengsao","","","","","Chachoengsao","","차층사오","Chachoengsao","","","Чаченгсау","","","",""
"Q1025964","","10413","محافظة ترات","","Trat","Trat","","Trat","","","","","Trat","","뜨랏","Trat","Trat","Trat","Трат","","","",""
"Q1210731","","52866","","","Maha Sarakham","Maha Sarakham","","Maha Sarakham","","","","","Maha Sarakham","","마하사라캄","Maha Sarakham","","Maha Sarakham","Махасаракхам","","","",""
"Q1361155","","28493","محافظة ساموت سونغرام","","Samut Songkhram","Samut Songkhram","Samut Songkhram","Samut Songkhram","","","","","Samut Songkhram","","사뭇송크람","Samut Songkhram","","Samut Songkhram","Самутсонгкхрам","","","",""
"Q2174978","","","حي نيبى","","","Nebbi","","Nebbi","","","","","Nebbi","ネビ","","Nebbi","Nebbi","Nebbi","Небби","","","",""
"Q2789444","","","","","Kibaale","Kibaale","","Kibaale","","","","","Kibaale","","","Kibaale","","","Кибале","","","",""
