"shapefilename","var","value"
"./10m_physical/ne_10m_geographic_lines.shp","New_name","21"
"./10m_physical/ne_10m_geographic_lines.shp","Deleted_name","0"
"./10m_physical/ne_10m_geographic_lines.shp","Modified_name","0"
"./10m_physical/ne_10m_geographic_lines.shp","Empty_name","0"
"./10m_physical/ne_10m_geographic_lines.shp","Same_name","105"
"./10m_physical/ne_10m_geographic_lines.shp","Wikidataid_redirected","0"
"./10m_physical/ne_10m_geographic_lines.shp","Wikidataid_notfound","0"
"./10m_physical/ne_10m_geographic_lines.shp","Wikidataid_null","0"
"./10m_physical/ne_10m_geographic_lines.shp","Wikidataid_notnull","6"
"./10m_physical/ne_10m_geographic_lines.shp","Wikidataid_badformated","0"
