"wd_id","wd_id_new","population","name_ar","name_bn","name_de","name_en","name_es","name_fr","name_el","name_hi","name_hu","name_id","name_it","name_ja","name_ko","name_nl","name_pl","name_pt","name_ru","name_sv","name_tr","name_vi","name_zh"
"Q186299","","","مضيق بالك","পক প্রণালী","Palkstraße","Palk Strait","Estrecho de Palk","Détroit de Palk","","पाक जलडमरूमध्य","","Selat Palk","Stretto di Palk","ポーク海峡","포크 해협","Straat Palk","Cieśnina Palk","Estreito de Palk","Полкский пролив","Palksundet","Palk Boğazı","Eo biển Palk","保克海峡"
"Q185291","","","بحر مالوكا","","Molukkensee","Molucca Sea","Mar de Molucas","mer des Moluques","Θάλασσα Μολούκα","","","Laut Maluku","Mare delle Molucche","モルッカ海","말루쿠 해","Molukse Zee","Morze Moluckie","Mar das Molucas","Молуккское море","Molucksjön","Molucca Denizi","Biển Molucca","馬魯古海"
"Q194477","","","مضيق ماكاسار","","Straße von Makassar","Makassar Strait","Estrecho de Macasar","Détroit de Macassar","","","","Selat Makassar","Stretto di Makasar","マカッサル海峡","마카사르 해협","Straat Makassar","Cieśnina Makasarska","Estreito de Macáçar","Макасарский пролив","Makassarsundet","Makassar Boğazı","Eo biển Makassar","望加锡海峡"
"Q204703","","","بحر سكوتيا","","Scotiasee","Scotia Sea","Mar del Scotia","mer de la Scotia","Θάλασσα της Σκωτίας","स्कोशिया सागर","","Laut Scotia","Mare di Scotia","スコシア海","스코샤 해","Scotiazee","Morze Scotia","Mar de Scotia","Море Скоша","Scotiahavet","Scotia Denizi","Biển Scotia","斯科舍海"
"Q199408","","","بحر البوران","","Alborán-Meer","Alboran Sea","Mar de Alborán","mer d'Alboran","Θάλασσα του Αλμποράν","","","Laut Albora","mare di Alborán","アルボラン海","알보란 해","Alboránzee","Morze Alborańskie","Mar de Alborão","Море Альборан","Alboránsjön","Alboran Denizi","Biển Alboran","阿尔沃兰海"
"Q207702","","","مضيق هدسون","হাডসন প্রণালী","Hudsonstraße","Hudson Strait","Estrecho de Hudson","Détroit d'Hudson","","हडसन जलसन्धि","","Selat Hudson","Stretto di Hudson","ハドソン海峡","허드슨 해협","Straat Hudson","Cieśnina Hudsona","Estreito de Hudson","Гудзонов пролив","Hudsonsundet","Hudson Boğazı","Eo biển Hudson","哈得逊海峡"
"Q205655","","","مضيق سنغافورة","","Straße von Singapur","Singapore Strait","Estrecho de Singapur","Détroit de Singapour","","","","Selat Singapura","Stretto di Singapore","シンガポール海峡","싱가포르 해협","Straat Singapore","Cieśnina Singapurska","Estreito de Singapura","Сингапурский пролив","Singaporesundet","","Eo biển Singapore","新加坡海峡"
"Q212428","","","خليج تونكين","","Golf von Tonkin","Gulf of Tonkin","Golfo de Tonkín","Golfe du Tonkin","","","Vietnámi-öböl","Teluk Tonkin","Golfo del Tonchino","トンキン湾","통킹 만","Golf van Tonkin","Zatoka Tonkińska","Golfo de Tonkin","Бакбо","Tonkinbukten","Tonkin Körfezi","Vịnh Bắc Bộ","北部湾"
"Q210855","","","بحر سيرام","","Seramsee","Ceram Sea","Mar de Ceram","mer de Seram","","","","Laut Seram","Mare di Ceram","セラム海","스람 해","Ceramzee","Morze Seram","Mar de Ceram","Море Серам","Seramsjön","Ceram Denizi","Biển Ceram","塞蘭海"
"Q223810","","","خليج جيمس","","James Bay","James Bay","Bahía James","baie James","","","","","baia di James","ジェームズ湾","제임스 만","Jamesbaai","Zatoka Jamesa","Baía de James","Джеймс","Jamesbukten","James Koyu","Vịnh James","詹姆斯灣"
