"shapefilename","var","value"
"./10m_physical/ne_10m_geography_marine_polys.shp","New_name","750"
"./10m_physical/ne_10m_geography_marine_polys.shp","Deleted_name","450"
"./10m_physical/ne_10m_geography_marine_polys.shp","Modified_name","2326"
"./10m_physical/ne_10m_geography_marine_polys.shp","Empty_name","1162"
"./10m_physical/ne_10m_geography_marine_polys.shp","Same_name","1024"
"./10m_physical/ne_10m_geography_marine_polys.shp","Wikidataid_redirected","0"
"./10m_physical/ne_10m_geography_marine_polys.shp","Wikidataid_notfound","0"
"./10m_physical/ne_10m_geography_marine_polys.shp","Wikidataid_null","35"
"./10m_physical/ne_10m_geography_marine_polys.shp","Wikidataid_notnull","272"
"./10m_physical/ne_10m_geography_marine_polys.shp","Wikidataid_badformated","0"
