"wd_id","wd_id_new","population","name_ar","name_bn","name_de","name_en","name_es","name_fr","name_el","name_hi","name_hu","name_id","name_it","name_ja","name_ko","name_nl","name_pl","name_pt","name_ru","name_sv","name_tr","name_vi","name_zh"
"Q1641126","","","","","Kaçkar Dağı","Kaçkar Dağı","Kackar","","","","Kaçkar-hegy","","Monte Kaçkar","","","Kaçkar Dağı","Kaçkar Dağı","","Качкар","Kaçkar Dağı","Kaçkar Dağı","",""
"Q1883683","","","","","Mafadi","Mafadi","Mafadi","Mafadi","","","","","Mafadi","","","Mafadi","Mafadi","Mafadi","","","Mafadi Dağı","",""
"Q3022142","","","","","Demirkazık Dağı","Demirkazık Peak","","Demirkazık","","","","","","","","Demirkazık Dağı","","Demirkazık Dağı","","","Demirkazık Dağı","",""
"Q4062402","","","","","Nganglong Kangri","","","","","","","","","","","","Nganglong Kangri","","Алинг-Гангри","","","",""
"Q4421491","","","","","","","","","","","","","","","","Skalisty Golec","Skalisty Golec","","Скалистый Голец","","","",""
"Q4442785","","","","","","Gora Stokap","","","","","","","","","","","","","Стокап","","","",""
"Q4230794","","","","","","Konzhakovskiy Kamen","","","","","","","","","","Konzhakovskiy Kamen","","","Конжаковский Камень","","","",""
"Q21519918","","","","","Pik Karakol","Pik Karakol","","","","","","","","","","Pik Karakol","","","пик Каракольский","","","",""
"Q359338","","","","","Pik Aborigen","","","mont Aborigène","","","","","","","","Aborigen","","","Абориген","","","",""
"Q1471391","","","","","Pico de São Tomé","Pico de São Tomé","Pico de São Tomé","Pico de São Tomé","","","","","Pico de São Tomé","サントメ山","","Pico de Sao Tomé","Pico de São Tomé","Pico de São Tomé","Пику-де-Сан-Томе","","","",""
"Q1753509","","","","","Mont Agou","Mount Agou","Monte Agou","mont Agou","","","","","Agou","アグー山","","Mont Agou","Mont Agou","Monte Agou","Агу","","","",""
"Q4362531","","","","","Pik BAM","Pik BAM","","","","","","","","","","Pik BAM","","Pico BAM","Пик БАМ","","","",""
"Q6950349","","","","","","Mönkh KHairkhan","","","","","","","","","","Mönkh KHairkhan","Mönchchajrchan uul","","","","","",""
"Q20190966","","","","","Kuh-e Jang Qal’eh","","","","","","","","","","","","","","","","","",""
"Q11929547","","","","","","","","","","","","","","","","","","","","","","",""
"Q19459387","","","","","Kangju Kangri","Kangju Kangri","","","","","","","","","","","","","","","","",""
"Q25378399","","","","","Vinson-Massiv","Vinson Massif","","Massif Vinson","","","","","","","","","","","","","","",""
"Q15120698","","","","","Monts Bagzane","Monts Bagzane","","Monts Bagzane","","","","","","","","","","","","","","",""
"Q15056776","","","","","Hunsberge","Hunsberge","","Hunsberge","","","","","","","","","","","","","","",""
"Q7294662","","","","","","Ras Koh Hills","","","","","","","","Ras Koh丘陵","","","","","","","","",""
"Q29976941","","","","","","","","","","","","","","","","Džabal Oda","","","","","","",""
"Q3643513","","","","","","Compassberg","Compassberg","","","","","","","","","Compassberg","","","","","","",""
"Q8540195","","","","","","Mount Dimlang","Monte Dimlang","","","","","","","","","Mount Dimlang","","","","","","",""
"Q1951561","","","","","Mtorwi","","","","","","","","","","","Mtorwi","","","","","","",""
"Q1537198","","","","","Nun","","","","","","","","","","","Nun","","","","","","",""
"Q8536063","","","","","Loinbo Kangri","Lunpo Gangri","","","","","","","","","","Lunpo Gangri","","","","","","",""
"Q7404420","","","","","","Salher","","","","","","","","","","Salher","","","","","","",""
"Q3533921","","","","","Guru Shikhar","Guru Shikhar","","Gurû Sikhara","","गुरु शिखर","","","","","","Guru Shikhar","","","","","","",""
"Q1542964","","","","","Khao Luang","Khao Luang","Khao Luang","Khao Luang","","","","","","","","Khao Luang","","","","","","",""
"Q1337951","","","","","Emlembe","Emlembe","Monte Emlembe","Emlembe","","","","","Emlembe","","","Emlembe","Emlembe","Emlembe","","","","",""
"Q1261892","","","السودة","জাবাল সাওদা","Dschabal Sauda","Jabal Sawda","Jabal Sawda","Jabal Sawda","","","","Jabal Sauda'","Jebel Sawda","サウダ山","","Jabal Sawda","Dżabal as-Sauda","Jabal Sawda","","","","",""
"Q6480460","","","لالة خديجة","","","Lalla Khedidja","","","","","","","","","","Lalla Khedidja","","Lalla Khedidja","","","","",""
"Q3642884","","","","","Seweweekspoortpiek","Seweweekspoortpiek","Seweweekspoortpiek","","","","","","","","","Seweweekspoortpiek","","Seweweekspoortpiek","","","","",""
"Q6897936","","","","","","Monalanong Hill","Monalanong","","","","","","","","","Monalanong Hill","Monalanong Hill","","","Manyelanong Hill","","",""
"Q3143042","","","","","","Dena","Monte Dena","mont Dena","","","","","","","","Kūh-e Dīnār","","","Заповедник Дена","Kūh-e Dīnār","","",""
"Q4115817","","","جبل اللوز","","Dschabal al-Lauz","Jabal al-Lawz","","","","","","","","","","Jabal al-Lawz","Jabal al-Lawz","","Джабаль-эль-Лауз","Jabal al-Lawz","","",""
"Q1753730","","","","","Soira","Emba Soira","Soira","mont Soira","","","","Amba Soira","Soira","","","Soira","Soira","Soira","Соира","Soyra","","",""
"Q1454300","","","","","Hombori Tondo","Mount Hombori","Hombori Tondo","monts Hombori","","","","","Hombori Tondo","オンボリ山","","Mount Hombori","Hombori Tondo","Hombori Tondo","Гомбори Тондо","Hombori Tondo","","",""
"Q1146327","","","","","Pidurutalagala","Pidurutalagala","Pidurutalagala","Pidurutalagala","","","","","Pidurutalagala","ピドゥルタラーガラ山","","Pidurutalagala","Pidurutalagala","Pidurutalagala","Пидуруталагала","Pidurutalagala","","",""
"Q897834","","","","","Brandbergmassiv","Brandberg","Montaña Brandberg","Massif du Brandberg","","","","Pegunungan Brandberg","Massiccio Brandberg","ブランドバーグ山","","Brandberg","Brandberg","Monte Brandberg","Брандберг","Brandberg","","",""
"Q860146","","","قمة بتة","","Bikku Bitti","Bikku Bitti","Bikku Bitti","Bikku Bitti","","","Bikku-Bitti","","Bikku Bitti","ビクー・ビティ","","Bikku Bitti","Bikku Bitti","Bikku Bitti","Бикку-Битти","Bikku Bitti","","",""
"Q485550","","","","","Anamudi","Anamudi","Anai Mudi","Anamudi","","अनाइमुडी","","","Anamudi","アナミュディ山","","Anamudi","Anai Mudi","Anamudi","Анай-Муди","Anai Mudi","","",""
"Q311330","","","القرنة السوداء","","Al-Qurnat as-Sauda","Qurnat as Sawda'","Qurnat as Sawdā'","Qurnat as Sawda'","","","","","Qurnat al-Sawda'","クルナ・アッサウダー山","","Qurnat as Sawda'","Kurnat as-Sauda","Qurnat as Sawda'","Курнет-эс-Сауда","Qurnat as Sawda'","","",""
"Q147826","","","","","Zard Kuh","Zard Kūh","Zard Kuh","Zard Kuh","","","","","Zard Kuh","ザルド山","","Zard Kūh","Zard Kuh","","Зерд-Кух","Zard Kūh","","",""
"Q29613993","","","","","","","","","","","","","","","","","","","","Daba Shan","","",""
"Q28794387","","","","","","","","","","","","","","","","","","","","Fenghuang Shan","","",""
"Q27288676","","","","","","","","","","","","","","","","","","","","Chiri-san","","",""
"Q26794321","","","","","","","","","","","","","","","","","","","","Nanda Devi","","",""
"Q26783773","","","","","","","","","","","","","","","","","","","","Mahendra Giri","","",""
"Q21584061","","","","","","","","","","","","","","","","","","","","Jabal ash Shaykh","","",""
"Q29620880","","","","","","Huanggangshan","","","","","","","","","","","","","","Huanggangshan","","",""
"Q29620877","","","","","","Huanggangliang","","","","","","","","","","","","","","Huanggangliang","","",""
"Q28946068","","","","","","Hongtu Zhang","","","","","","","","","","","","","","Hongtu Zhang","","",""
"Q28832190","","","","","","Jiuling Shan","","","","","","","","","","","","","","Jiuling Shan","","",""
"Q28794266","","","","","","Aktag","","","","","","","","","","","","","","Aktag","","",""
"Q23939923","","","","","","Ramlo","","","","","","","","","","","","","","Ramlo","","",""
"Q24032213","","","","","","","","","","","","","","","","Argun","","","","Argun","","",""
"Q24028774","","","","","","","","","","","","","","","","Gugu","","","","Gugu","","",""
"Q24026551","","","","","","","","","","","","","","","","Amba Moka","","","","Amba Moka","","",""
"Q21485532","","","","","Faure Peak","Faure Peak","","","","","","","","","","Faure Peak","","","","Faure Peak","","",""
"Q21472459","","","","","Mount Seelig","Mount Seelig","","","","","","","","","","Seelig","","","","Seelig","","",""
"Q28818890","","","","","","Maotou Shan","","","","","","","","","","Maotou Shan","","","","Maotou Shan","","",""
"Q27519827","","","","","","Adrar Bou Nasser","","","","","","","","","","Adrar Bou Nasser","","","","Adrar Bou Nasser","","",""
"Q27515019","","","","","","Jebel Lkst","","","","","","","","","","Jebel Lkst","","","","Jebel Lkst","","",""
"Q26975903","","","","","","Kūh-e Nāy Band","","","","","","","","","","Kūh-e Nāy Band","","","","Kūh-e Nāy Band","","",""
"Q26914610","","","","","","Kūh-e Garīn","","","","","","","","","","Kūh-e Garīn","","","","Kūh-e Garīn","","",""
"Q26907338","","","","","","Kūh-e Ḩājjī Ebrāhīm","","","","","","","","","","Kūh-e Ḩājjī Ebrāhīm","","","","Kūh-e Ḩājjī Ebrāhīm","","",""
"Q26875277","","","","","","Kūh-e Fāreghān","","","","","","","","","","Kūh-e Fāreghān","","","","Kūh-e Fāreghān","","",""
"Q23814924","","","","","","Garet el Djenoun","","","","","","","","","","Garet el Djenoun","","","","Garet el Djenoun","","",""
"Q21737779","","","","","","Sikaram","","","","","","","","","","Sikaram","","","","Sikaram","","",""
"Q20191405","","","","","Shah Fuladi","Shāh Fōlādī","","Shāh Fōlādī","","","","","","","","Shāh Fōlādī","","","","Shāh Fōlādī","","",""
"Q7188265","","","","","","Phu Soi Dao","","","Φου Σόι Ντάο","","","","Phu Soi Dao","","","Phu Soi Dao","","","","Phu Soi Dao","","",""
