"wd_id","status","variable","value_old","value_new"
"Q917353","MODvalue","name_ko","모리스재섭 곶","모리스재섭곶"
"Q128097","NEWvalue","name_de","","Kap Farvel"
"Q128097","NEWvalue","name_en","","Cape Farewell"
"Q128097","NEWvalue","name_es","","Cabo Farewell"
"Q128097","NEWvalue","name_fr","","Cap Farvel"
"Q128097","NEWvalue","name_el","","Ακρωτήριο Φάρβελ"
"Q128097","NEWvalue","name_hu","","Farvel-fok"
"Q128097","NEWvalue","name_it","","Capo Farvel"
"Q128097","NEWvalue","name_nl","","Kaap Vaarwel"
"Q128097","NEWvalue","name_pl","","Farvel"
"Q128097","NEWvalue","name_pt","","Cabo Farvel"
"Q128097","NEWvalue","name_ru","","Фарвель"
"Q128097","NEWvalue","name_sv","","Kap Farvel"
"Q128097","NEWvalue","name_zh","","法韦尔角"
"Q1352197","NEWvalue","name_de","","Naturreservat Cap Sainte Marie"
"Q1352197","NEWvalue","name_en","","Cape Saint Marie"
"Q1352197","NEWvalue","name_fr","","Cap Sainte-Marie"
"Q1352197","NEWvalue","name_nl","","Cape Saint Marie"
"Q1059267","NEWvalue","name_tr","","Tabiteuea"
"Q1059267","NEWvalue","name_vi","","Tabiteuea"
"Q1050891","NEWvalue","name_pl","","Nikumaroro"
"Q1050891","NEWvalue","name_tr","","Nikumaroro"
"Q14452","NEWvalue","name_ar","","جزيرة القيامة"
"Q14452","NEWvalue","name_bn","","ইস্টার দ্বীপ"
"Q14452","NEWvalue","name_de","","Osterinsel"
"Q14452","NEWvalue","name_en","","Easter Island"
"Q14452","NEWvalue","name_es","","Isla de Pascua"
"Q14452","NEWvalue","name_fr","","île de Pâques"
"Q14452","NEWvalue","name_el","","Νησί του Πάσχα"
"Q14452","NEWvalue","name_hi","","ईस्टर द्वीप"
"Q14452","NEWvalue","name_hu","","Húsvét-sziget"
"Q14452","NEWvalue","name_id","","Pulau Paskah"
"Q14452","NEWvalue","name_it","","Isola di Pasqua"
"Q14452","NEWvalue","name_ja","","イースター島"
"Q14452","NEWvalue","name_ko","","이스터 섬"
"Q14452","NEWvalue","name_nl","","Paaseiland"
"Q14452","NEWvalue","name_pl","","Wyspa Wielkanocna"
"Q14452","NEWvalue","name_pt","","Ilha de Páscoa"
"Q14452","NEWvalue","name_ru","","Остров Пасхи"
"Q14452","NEWvalue","name_sv","","Påskön"
"Q14452","NEWvalue","name_tr","","Paskalya Adası"
"Q14452","NEWvalue","name_vi","","Đảo Phục Sinh"
"Q14452","NEWvalue","name_zh","","復活節島"
"Q1100951","NEWvalue","name_es","","cabo Agassiz"
"Q1100932","NEWvalue","name_es","","Cabo Jeremy"
"Q870258","NEWvalue","name_de","","Ebene der Tonkrüge"
"Q870258","NEWvalue","name_en","","Plain of Jars"
"Q870258","NEWvalue","name_es","","Llanura de las Jarras"
"Q870258","NEWvalue","name_fr","","Plaine des Jarres"
"Q870258","NEWvalue","name_it","","Piana delle giare"
"Q870258","NEWvalue","name_ja","","ジャール平原"
"Q870258","NEWvalue","name_ko","","단지평원"
"Q870258","NEWvalue","name_nl","","Vlakte der Kruiken"
"Q870258","NEWvalue","name_pl","","Równina Dzbanów"
"Q870258","NEWvalue","name_ru","","Долина Кувшинов"
"Q870258","NEWvalue","name_sv","","Krukslätten"
"Q870258","NEWvalue","name_vi","","Cánh đồng Chum"
"Q870258","NEWvalue","name_zh","","查爾平原"
"Q3307973","NEWvalue","name_en","","Point Conception"
