"wd_id","wd_id_new","population","name_ar","name_bn","name_de","name_en","name_es","name_fr","name_el","name_hi","name_hu","name_id","name_it","name_ja","name_ko","name_nl","name_pl","name_pt","name_ru","name_sv","name_tr","name_vi","name_zh"
"Q2469144","","","","","","Cape Elizabeth","","Cap Élisabeth","","","","","Capo Elizaveta","エリザベス岬","","Mis Elizaveti","Przylądek Elżbiety","","Мыс Елизаветы","","","",""
"Q2065437","","","","","","Cape May","","","","","","","","メイ岬","","","","","Мэй","","","",""
"Q3116419","","","غرينادا","","Grenada","Grenada","Grenada","Grenade","","","","","","","","Grenada","Grenada","Grenada","Гренада","","","",""
"Q3562501","","","","","","","","","Ακρωτήριο Ναυαρίνου","","","","Capo Navarin","","","Capo Navarin","Przylądek Nawarin","","Наварин","","","",""
"Q3463471","","","","","","Cape Olyutorsky","","Cap Olioutorski","","","","","","","","Kaap Oljoetorski","Przylądek Olutorski","","Олюторский","","","",""
"Q4309490","","","","","","","","Cap Terpenia","","","","","Capo Terpenija","北知床岬","","","","","Мыс Терпения","","","",""
"Q15076349","","","","","","Miquelon","Isla de Miquelón","Miquelon","","","","","","","","","","","Микелон","","","",""
"Q1034413","","","","","Cape Fear","Cape Fear","Cape Fear","Cape Fear","","","","","","ケープフェア","","","","Cabo Fear","Кейп-Фир","","","",""
"Q1034489","","","","","Cape Palmas","Cape Palmas","Cabo Palmas","Cap des Palmes","","","Pálma-fok","","Capo Palmas","パルマス岬","","Cape Palmas","","Cabo Palmas","Пальмас","","","",""
"Q3118683","","","","","","Guadeloupe","","Guadeloupe","","","","","","","","Guadeloupe","Gwadelupa","","","","","",""
"Q7333283","","","","","","Rifstangi","","Rifstangi","","","","","","","","","Rifstangi","","","","","",""
"Q17505593","","","","","","Islas de Martín Vaz","Islas de Martín Vaz","","","","","","","","","","","","","","","",""
"Q5035028","","","","","","Cape San Blas","","","","","","","","","","","","","","","","",""
"Q18214270","","","","","","","","Cap Cantin","","","","","","","","","","","","","","",""
"Q27508090","","","","","","Saint Lucia","","Sainte-Lucie","","","","","","","","","","","","","","",""
"Q27507993","","","","","","Dominica","","Dominique","","","","","","","","","","","","","","",""
"Q30151675","","","","","","Nauru","","Nauru","","","","","","","","","","","","","","",""
"Q30151210","","","","","","Barbados","","Barbade","","","","","","","","","","","","","","",""
"Q5738394","","","","","","","Cabo San Diego","Cap San Diego","","","","","","","","","","","","","","",""
"Q2937092","","","","","","","","cap Saint-André","","","","","","","","","","","","","","",""
"Q2454241","","","","","Tristan da Cunha","Tristan da Cunha","","Tristan da Cunha","","","","","","","","","","","","","","",""
"Q582389","","","","","Antipodes Island","Antipodes Island","","île des Antipodes","","","","","","","","","","","","","","",""
"Q20456736","","","","","","Vavaʻu","","","","","","","","","","Vavaʻu","","","","","","",""
"Q3657109","","","","","","Cape Brewster","","","","","Brewster-fok","","Capo Brewster","","","Kaap Brewster","","","","","","",""
"Q1964786","","","","","Nanumea","Nanumea","","Nanumea","","","","","","","","Nanumea","","","","","","",""
"Q1352197","","","","","Naturreservat Cap Sainte Marie","Cape Saint Marie","","Cap Sainte-Marie","","","","","","","","Cape Saint Marie","","","","","","",""
"Q987098","","","","","Punta Negra","Punta Negra","Punta Negra","Punta Negra","","","","","","","","Punta Negra","","","","","","",""
"Q7208042","","","","","","Point Hope","","","","","","","","ホープ岬","","","","Point Hope","","","","",""
"Q963259","","","","","","Cape Orange","Cabo Orange","Cap Orange","","","","","","","","","","Cabo Orange","","","","",""
"Q780339","","","","","","Cape Mendocino","Cabo Mendocino","Cap Mendocino","","","","Tanjung Mendocino","Capo Mendocino","","","Cape Mendocino","","Cabo Mendocino","","","","",""
"Q1636266","","","","","Kap York","Cape York","Cabo York","Cap York","","","","","Capo York","ヨーク岬","","Cape York","Kap York","","Йорк","Kap York","","",""
"Q1136198","","","","","Kap Finisterre","Cape Finisterre","Cabo Finisterre","Cap Finisterre","","","","","Cabo Fisterra","フィニステレ岬","","Cabo Finisterre","Cabo Fisterra","Cabo Finisterra","Финистерре","Kap Finisterre","","",""
