"shapefilename","var","value"
"./10m_physical/ne_10m_geography_regions_points.shp","New_name","135"
"./10m_physical/ne_10m_geography_regions_points.shp","Deleted_name","0"
"./10m_physical/ne_10m_geography_regions_points.shp","Modified_name","3"
"./10m_physical/ne_10m_geography_regions_points.shp","Empty_name","1659"
"./10m_physical/ne_10m_geography_regions_points.shp","Same_name","1752"
"./10m_physical/ne_10m_geography_regions_points.shp","Wikidataid_redirected","0"
"./10m_physical/ne_10m_geography_regions_points.shp","Wikidataid_notfound","0"
"./10m_physical/ne_10m_geography_regions_points.shp","Wikidataid_null","66"
"./10m_physical/ne_10m_geography_regions_points.shp","Wikidataid_notnull","169"
"./10m_physical/ne_10m_geography_regions_points.shp","Wikidataid_badformated","0"
