"wd_id","wd_id_new","population","name_ar","name_bn","name_de","name_en","name_es","name_fr","name_el","name_hi","name_hu","name_id","name_it","name_ja","name_ko","name_nl","name_pl","name_pt","name_ru","name_sv","name_tr","name_vi","name_zh"
"Q620452","","","تونغاتابو","টোঙ্গাটাপু","Tongatapu","Tongatapu","Tongatapu","Tongatapu","Τονγκατάπου","टोंगटापू","","Tongatapu","Tongatapu","トンガタプ島","통가타푸 섬","Tongatapu","Tongatapu","Tongatapu","Тонгатапу","Tongatapu","Tongatapu","Tongatapu","汤加塔布岛"
"Q615657","","","جزيرة ويتار","","Wetar","Wetar","Wetar","Wetar","","","","Pulau Wetar","Wetar","ウェタル島","","Wetar","Wetar","Wetar","Ветар","Pulau Wetar","","Wetar","韋塔島"
"Q632061","","","","","Fatu Hiva","Fatu Hiva","Fatu Hiva","Fatu Hiva","","","Fatu Hiva","Fatu Hiva","Fatu Hiva","ファトゥヒバ島","","Fatu Hiva","Fatu Hiva","Fatu Hiva","Фату-Хива","Fatu Hiva","Fatu Hiva","Fatu Hiva","法圖伊瓦島"
"Q641568","","","ماليتا","","Malaita","Malaita","Malaita","Malaita","","","","","Malaita","マライタ島","말라이타 섬","Malaita","Malaita","Malaita","Малаита","Malaita","","Đảo Malaita","馬萊塔島"
"Q648391","","","","","Kotelny-Insel","Kotelny Island","Isla Kotelny","île Kotelny","Κοτέλνι","","","","Isola Kotel'nyj","コテリヌイ島","코텔니 섬","Kotelny","Kotielnyj","Ilha Kotelny","Котельный","Kotelnyjön","Kotelny Adası","Đảo Kotelny","科捷利內島"
"Q661708","","","","","Lisianski","Lisianski Island","Lisianski","île de Lisianski","","","","","","リシアンスキー島","","Lisianski","Lisianski","Lisianski","Остров Лисянского","","","Lisianski","里斯安斯基島"
"Q642226","","2121","جزيرة فوكلاند الشرقية","","Ostfalkland","East Falkland","Isla Soledad","Falkland orientale","","","Kelet-Falkland","Falkland Timur","Falkland Orientale","東フォークランド島","동포클랜드 섬","Östra Falkland","Falkland Wschodni","Malvina Oriental","Восточный Фолкленд","Östra Falkland","","Đông Falkland","索莱达岛"
"Q664321","","","","","Futuna","Futuna","Futuna","Futuna","","","","","Futuna","フツナ島","","Futuna","Futuna","Futuna","Футуна","Futuna","","Futuna","富圖納島"
"Q664687","","","","","Bissagos-Archipel","Bissagos Islands","Islas Bijagós","Archipel des Bijagos","","","Bijagós-szigetek","","Isole Bijagos","ビジャゴ諸島","","Bissagoseilanden","Bijagós","Arquipélago dos Bijagós","Бижагош","Bijagosöarna","","Quần đảo Bissagos","比熱戈斯群島"
"Q673400","","16191","موريا","","Moorea","Moorea","Moorea","Moorea","","","Moorea","Moorea","Moorea","モーレア島","","Moorea","Moorea","Moorea","Муреа","Moorea","","Moorea","茉莉亞島"
"Q697792","","","","","Daitō-Inseln","Daitō Islands","Islas Daitō","Archipel Daitō","","","","","Isole Daitō","大東諸島","다이토 제도","Daitō Islands","Daitō Shotō","Ilhas Daito","Острова Бородино","Daitoöarna","","Quần đảo Daitō","大東群島"
"Q713391","","","جزيرة مافيا","","Mafia","Mafia Island","Isla de Mafia","Mafia","Νήσος Μάφια","","Mafia-sziget","","Mafia","マフィア島","마피아 섬","Mafia Island","Mafia","Ilha de Mafia","Мафия","Mafiaön","","Mafia","马菲亚岛"
"Q695120","","0","جزيرة إدغيويا","","Edgeøya","Edgeøya","Edgeøya","Edgeøya","Έντγκεγια","","","","Edgeøya","エッジ島","에드게외위아 섬","Edgeøya","Wyspa Edge'a","Ilha Edge","Эдж","Edgeøya","","Edgeøya","埃季島"
"Q843411","","","","","Nihoa","Nihoa","Nihoa","Nihoa","","","Nihoa","","Nihoa","ニホア島","","Nihoa","Nihoa","Nihoa","Нихоа","Nihoa","","Nihoa","尼華島"
"Q794502","","","جزيرة كينج ايسلند","","King Island","King Island","Isla King","île King","","","","","King","キング島","","Kingeiland","King","Ilha King","Кинг","King Island","","Đảo King","金岛"
"Q733338","","","جزيرة فوكلاند الغربية","","Westfalkland","West Falkland","Isla Gran Malvina","Falkland occidentale","","","Nyugat-Falkland","Falkland Barat","Falkland Occidentale","西フォークランド島","서포클랜드 섬","West-Falkland","Falkland Zachodni","Malvina Ocidental","Западный Фолкленд","Västra Falkland","","Tây Falkland","大马尔维纳岛"
"Q859646","","","","","Erromango","Erromango","Erromango","Erromango","","","","","Erromango","エロマンガ島","에로망고 섬","Erromango","Erromango","Erromango","Эроманга","","","Erromango","埃羅芒阿島"
"Q847285","","8000","جزيرة كوناشير","","Kunaschir","Kunashir Island","Kunashir","Kounachir","Κουνασίρ","","","Kunashir","Kunashir","国後島","쿠나시르 섬","Koenasjir","Kunaszyr","Kunashir","Кунашир","","Kunaşir Adası","Kunashir","國後島"
"Q867864","","","جزيرة شويسيول","","Choiseul","Choiseul Island","Choiseul","Choiseul","","","","","Isola Choiseul","チョイスル島","슈아절 섬","Choiseul","Choiseul","Ilha Choiseul","Шуазёль","Choiseul","","Đảo Choiseul","舒瓦瑟爾島"
