"shapefilename","var","value"
"./10m_physical/ne_10m_geography_regions_polys.shp","New_name","1562"
"./10m_physical/ne_10m_geography_regions_polys.shp","Deleted_name","0"
"./10m_physical/ne_10m_geography_regions_polys.shp","Modified_name","15"
"./10m_physical/ne_10m_geography_regions_polys.shp","Empty_name","5917"
"./10m_physical/ne_10m_geography_regions_polys.shp","Same_name","10377"
"./10m_physical/ne_10m_geography_regions_polys.shp","Wikidataid_redirected","1"
"./10m_physical/ne_10m_geography_regions_polys.shp","Wikidataid_notfound","0"
"./10m_physical/ne_10m_geography_regions_polys.shp","Wikidataid_null","196"
"./10m_physical/ne_10m_geography_regions_polys.shp","Wikidataid_notnull","851"
"./10m_physical/ne_10m_geography_regions_polys.shp","Wikidataid_badformated","0"
