"wd_id","wd_id_new","population","name_ar","name_bn","name_de","name_en","name_es","name_fr","name_el","name_hi","name_hu","name_id","name_it","name_ja","name_ko","name_nl","name_pl","name_pt","name_ru","name_sv","name_tr","name_vi","name_zh"
"Q1476428","","","","","Lake Clark","Lake Clark","","Clark Lake","","","Clark-tó","","","","","Lake Clark","","","Кларк","","Clark Gölü","",""
"Q1589175","","","","","Jackson Lake","Jackson Lake","Lago Jackson","lac Jackson","","","","","lago Jackson","","","Jackson Lake","","","Джексон","","","",""
"Q1781818","","","","","Sebago Lake","Sebago Lake","","Sebago Lake","","","","","","","","Sebago Lake","","","Себейго","","","",""
"Q1972978","","","","","Upper Klamath Lake","Upper Klamath Lake","Lago Upper Klamath","lac Klamath supérieur","","","","","Upper Klamath Lake","アッパークラマス湖","","Upper Klamath Lake","","","Аппер-Кламат","","","",""
"Q4539001","","","","","","","","","","","","","","","","","","","Яррото 2-е","","","",""
"Q4538999","","","","","","","","","","","","","","","","","","","Яррото 1-е","","","",""
"Q4262256","","","","","","Lynx Lake","","Lynx Lake","","","","","","","","","","","Линкс","","","",""
"Q3518981","","","","","","Teshekpuk Lake","","Teshekpuk Lake","","","","","","","","","","","Тешекпук","","","",""
"Q3214981","","","","","","Lake Kissimmee","","lac Kissimmee","","","","","","","","","","","Киссимми","","","",""
"Q812997","","","","","Bear Lake","Bear Lake","Lago del Oso","lac Bear","","","","","","ベアー湖","","Bear Lake","","","Бэр","","","",""
"Q1391737","","","","","Baker Lake","Baker Lake","Lago Baker","lac Baker","","","","","","ベイカー湖","","Baker Lake","","Lago Baker","Бейкер","","","",""
"Q14638483","","","","","Long Lake","","","","","","","","","","","","","","","","","",""
"Q6476029","","","","","","Lake Granby","Lago Granby","Lake Granby","","","","","","","","","","","","","","",""
"Q5049166","","","بحيرة كاس ليك","","","Cass Lake","Lago Cass","Cass Lake","","","","","","","","","","","","","","",""
"Q3214801","","","","","","Chesuncook Lake","Lago Chesuncook","lac Chesuncook","","","","","","","","","","","","","","",""
"Q6478519","","","بحيرة وينيبيغوشيش، دير ريفر","","","Lake Winnibigoshish","Lago Winnibigoshish","Lake Winnibigoshish","","","","","","","","","","","","","","",""
"Q7359166","","","","","","Scott Lake","","Scott Lake","","","","","","","","","","","","","","",""
"Q6478379","","","","","","Lake Walcott","","Lake Walcott","","","","","","","","","","","","","","",""
"Q5034204","","","","","Canyon Ferry Lake","Canyon Ferry Lake","","Canyon Ferry Lake","","","","","","","","","","","","","","",""
"Q1800933","","","بحيرة جورج","","Lake George","Lake George","","lac George","","","","","","","","","","","","","","",""
"Q2211837","","","","","Saginaw Bay","Saginaw Bay","","Baie de Saginaw","","","","","","サギノー湾","","Saginaw Bay","","","","","","",""
"Q1793276","","","","","Lake Istokpoga","Lake Istokpoga","","lac Istokpoga","","","","","","","","Lake Istokpoga","","","","","","",""
"Q1339170","","","","","Owasco Lake","Owasco Lake","","Owasco Lake","","","","","lago Owasco","オワスコ湖","","Owasco Lake","","","","","","",""
"Q1335725","","","","","Keuka Lake","Keuka Lake","","lac Keuka","","","","","Lago Keuka","キューカ湖","","Keuka Lake","","","","","","",""
"Q1320568","","","بحيرة ريد","","Red Lake","Red Lake","Lago Red","Red Lake","","","","","","レッド湖","","Red Lake","","","","","","",""
"Q1032768","","","","","Canandaigua Lake","Canandaigua Lake","","lac Canandaigua","","","","","lago Canandaigua","カナデーグア湖","","Canandaigua Lake","","","","","","",""
