"wd_id","status","variable","value_old","value_new"
"Q1334148","NEWvalue","name_pl","","Eğridir"
"Q3272","NEWvalue","name_el","","Λίμνη Γουίνιπεγκ"
"Q3272","NEWvalue","name_id","","Danau Winnipeg"
"Q1391737","NEWvalue","name_ja","","ベイカー湖"
"Q1534419","NEWvalue","name_ja","","クレア湖"
"Q1343275","NEWvalue","name_de","","Lake Louise"
"Q1343275","NEWvalue","name_en","","Lake Louise"
"Q1343275","NEWvalue","name_es","","Lake Louise"
"Q1343275","NEWvalue","name_fr","","Lake Louise"
"Q1343275","NEWvalue","name_it","","Lake Louise"
"Q1343275","NEWvalue","name_nl","","Lake Louise"
"Q1343275","NEWvalue","name_pt","","Lake Louise"
"Q1343275","NEWvalue","name_ru","","Лейк-Луис"
"Q1343275","NEWvalue","name_sv","","Lake Louise"
"Q859461","MODvalue","name_fr","Big Trout Lake","lac Big Trout"
"Q1328351","NEWvalue","name_en","","Tehek Lake"
"Q1328351","NEWvalue","name_sv","","Tehek Lake"
"Q1630256","MODvalue","name_fr","Tathlina Lake","lac Tathlina"
"Q12341531","NEWvalue","name_en","","Whitefish Bay"
"Q12341531","NEWvalue","name_zh","","白魚灣"
"Q2211837","NEWvalue","name_de","","Saginaw Bay"
"Q2211837","NEWvalue","name_en","","Saginaw Bay"
"Q2211837","NEWvalue","name_fr","","Baie de Saginaw"
"Q2211837","NEWvalue","name_ja","","サギノー湾"
"Q2211837","NEWvalue","name_nl","","Saginaw Bay"
"Q2000567","NEWvalue","name_de","","North Channel"
"Q2000567","NEWvalue","name_en","","North Channel"
"Q2000567","NEWvalue","name_es","","Canal Norte"
"Q2000567","NEWvalue","name_fr","","Chenal nord"
"Q2000567","NEWvalue","name_ja","","ノース海峡"
"Q2000567","NEWvalue","name_pl","","North Channel"
"Q2000567","NEWvalue","name_pt","","Canal Norte"
"Q2000567","NEWvalue","name_zh","","北海峽"
"Q1267413","NEWvalue","name_de","","Georgian Bay"
"Q1267413","NEWvalue","name_en","","Georgian Bay"
"Q1267413","NEWvalue","name_es","","Georgian Bay"
"Q1267413","NEWvalue","name_fr","","baie Georgienne"
"Q1267413","NEWvalue","name_hu","","Georgian Bay"
"Q1267413","NEWvalue","name_id","","Georgian Bay"
"Q1267413","NEWvalue","name_it","","Georgian Bay"
"Q1267413","NEWvalue","name_ja","","ジョージア湾"
"Q1267413","NEWvalue","name_ko","","조지아 만"
"Q1267413","NEWvalue","name_nl","","Georgian Bay"
"Q1267413","NEWvalue","name_pl","","Georgian Bay"
"Q1267413","NEWvalue","name_pt","","Georgian Bay"
"Q1267413","NEWvalue","name_ru","","Джорджиан-Бей"
"Q1267413","NEWvalue","name_sv","","Georgian Bay"
"Q1267413","NEWvalue","name_zh","","喬治亞灣"
"Q125888","NEWvalue","name_el","","Λίμνη Αλβέρτου"
