"wd_id","wd_id_new","population","name_ar","name_bn","name_de","name_en","name_es","name_fr","name_el","name_hi","name_hu","name_id","name_it","name_ja","name_ko","name_nl","name_pl","name_pt","name_ru","name_sv","name_tr","name_vi","name_zh"
"Q597311","","","","","Drūkšiai","Lake Drūkšiai","Lago Drūkšiai","lac Drūkšiai","","","","","","ドゥルークシェイ湖","","Drūkšiaimeer","Dryświaty","","Дрисвяты","Vozera Drysvjaty","Drukşiai Gölü","",""
"Q949985","","","","","Lough Conn","Lough Conn","","Lough Conn","","","","","Lough Conn","","","Lough Conn","","","Лох-Конн","","","",""
"Q905632","","","","","Breimsvatnet","Breimsvatn","","Breimsvatnet","","","","","","","","Breimsvatn","","","Бреймсватн","","","",""
"Q2492869","","","","","","Lake Dysnai","","","","","","","","","","","Dzisna","","Диснай","","","",""
"Q2371127","","","","","","Lake Dusia","","lac Dusia","","","","","","","","","Jezioro Duś","","Дуся","","","",""
"Q1708169","","","","","Sperillen","Sperillen","","Sperillen","","","","","","","","Sperillen","","","Спериллен","","","",""
"Q1768048","","","","","Lough Mask","Lough Mask","","Lough Mask","","","","","Lough Mask","","","Lough Mask","","","Лох-Маск","","","",""
"Q2301965","","","بحيرة توتاك","","Totak","Totak","","Totak","","","","","","","","Totak","","","Тутак","","","",""
"Q3776146","","","","","","Lough Melvin","","Lough Melvin","","","","","","メルヴィン湖","","","","","Лох-Мелвин","","","",""
"Q651289","","","","","Songavatn","","","","","","","","","","","","","","","","","",""
"Q11853517","","","","","Aurejärvi","","","","","","","","","","","","","","","","","",""
"Q5096953","","","","","Storglomvatnet","Storglomvatnet","","","","","","","","","","","","","","","","",""
"Q3079094","","","","","","Poulaphouca Reservoir","","réservoir Poulaphouca","","","","","","","","","","","","","","",""
"Q15277947","","","","","Sirdalsvatnet","Sirdalsvatnet","","Sirdalsvatnet","","","","","","","","","","","","","","",""
"Q8011404","","","","","Mårvatn","Mår","","Mår","","","","","","","","","","","","","","",""
