"wd_id","wd_id_new","population","name_ar","name_bn","name_de","name_en","name_es","name_fr","name_el","name_hi","name_hu","name_id","name_it","name_ja","name_ko","name_nl","name_pl","name_pt","name_ru","name_sv","name_tr","name_vi","name_zh"
"Q1426999","","","","","Theodore Roosevelt Lake","Theodore Roosevelt Lake","","","","","","","","","","","","","Рузвельт","","","",""
"Q4397897","","","","","","Ross Barnett Reservoir","","","","","","","","","","","","","Росс Барнетт","","","",""
"Q175554","","","","","Walker Lake","Walker Lake","","Walker Lake","","","Walker-tó","","","ウォーカー湖","","Walker Lake","","","Уокер","","","",""
"Q1110527","","","","","Priest Lake","Priest Lake","","Priest Lake","","","","","","","","","","","Прист","","","",""
"Q1627906","","","","","","Caddo Lake","","lac Caddo","","","","","lago Caddo","","","Caddo Lake","","Lago Caddo","Каддо","","","",""
"Q4261031","","","","","","Lake Livingston","","lac Livingston","","","","","","","","","","","Ливингстон","","","",""
"Q4231229","","","","","","Lake Conroe","","Lake Conroe","","","","","","","","","","","Конро","","","",""
"Q2365354","","","","","Summer Lake","Summer Lake","","Summer Lake","","","","","","","","","","","Саммер","","","",""
"Q4491409","","","","","","Falls Lake","","lac Falls","","","","","","","","Falls Lake","","","Фоллз-Лэйк","","","",""
"Q6908686","","","","","","Mooselookmeguntic Lake","","Mooselookmeguntic Lake","","","","","","","","","","","Муслукмегантик","","","",""
"Q6276690","","","","","","Jordan Lake","","lac Jordan","","","Jordan-tó","","","","","","","","","","","",""
"Q7334112","","","","","","Saylorville Lake","Saylorville Reservoir","","","","","","","","","","","","","","","",""
"Q21197136","","","","","Pokegama Lake","Pokegama Lake","","","","","","","","","","","","","","","","",""
"Q14638469","","","","","Basswood Lake","Basswood Lake","","","","","","","","","","","","","","","","",""
"Q13856352","","","","","Lac la Croix","Lac la Croix","","","","","","","","","","","","","","","","",""
"Q42296166","","","","","","Ozark Lake","","","","","","","","","","","","","","","","",""
"Q35040299","","","","","","Hungry Horse Reservoir","","","","","","","","","","","","","","","","",""
"Q25204383","","","","","","Long Lake","","","","","","","","","","","","","","","","",""
"Q23950324","","","","","","Lake Chippewa","","","","","","","","","","","","","","","","",""
"Q20710073","","","","","","Pelican Lake","","","","","","","","","","","","","","","","",""
"Q18155107","","","","","","Norris Lake","","","","","","","","","","","","","","","","",""
"Q18148987","","","","","","Big Lake","","","","","","","","","","","","","","","","",""
"Q14708704","","","","","","Waurika Lake","","","","","","","","","","","","","","","","",""
"Q7606881","","","","","","Steinhagen Reservoir","","","","","","","","","","","","","","","","",""
"Q7332416","","","","","Truman Reservoir","Truman Reservoir","","","","","","","","","","","","","","","","",""
"Q7332226","","","","","","Watts Bar Lake","","","","","","","","","","","","","","","","",""
"Q7332040","","","","","","Table Rock Lake","","","","","","","","","","","","","","","","",""
"Q7331354","","","","","","Tenkiller Ferry Lake","","","","","","","","","","","","","","","","",""
"Q7145151","","","","","","Patoka Lake","","","","","","","","","","","","","","","","",""
"Q7048293","","","","","","Nolin River Lake","","","","","","","","","","","","","","","","",""
"Q6537451","","","","","","Lewisville Lake","","","","","","","","","","","","","","","","",""
"Q6477494","","","","","","Lake Ray Hubbard","","","","","","","","","","","","","","","","",""
"Q6476495","","","","","","Lake Koshkonong","","","","","","","","","","","","","","","","",""
"Q6474735","","","","","","Lake Allatoona","","","","","","","","","","","","","","","","",""
"Q5617732","","","","","","Gull Lake","","","","","","","","","","","","","","","","",""
"Q5599903","","","","","","Great Sacandaga Lake","","","","","","","","","","","","","","","","",""
"Q5594723","","","","","","Grand Lake","","","","","","","","","","","","","","","","",""
"Q5210483","","","","","","Dale Hollow Reservoir","","","","","","","","","","","","","","","","",""
"Q5059308","","","","","","Center Hill Lake","","","","","","","","","","","","","","","","",""
"Q5056639","","","","","","Cedar Creek Reservoir","","","","","","","","","","","","","","","","",""
"Q4731332","","","","","","Allegheny Reservoir","","","","","","","","","","","","","","","","",""
"Q6477497","","","","","","Lake Ray Roberts","","Lake Ray Roberts","","","","","","","","","","","","","","",""
"Q6477356","","","","","","Lake Phelps","","Lake Phelps","","","","","","","","","","","","","","",""
"Q6477163","","","","","","Lake O' the Pines","","Lake O' the Pines","","","","","","","","","","","","","","",""
"Q6476979","","","","","","Lake Monroe","","Lake Monroe","","","","","","","","","","","","","","",""
"Q6476835","","","","","","Lake Mattamuskeet","","Lake Mattamuskeet","","","","","","","","","","","","","","",""
"Q6476811","","","","","","Lake Martin","","lac Martin","","","","","","","","","","","","","","",""
"Q6476585","","","","","","Lake Lavon","","Lake Lavon","","","","","","","","","","","","","","",""
"Q6476037","","","","","","Lake Greeson","","Lake Greeson","","","","","","","","","","","","","","",""
"Q6476034","","","","","","Lake Greenwood","","Lake Greenwood","","","","","","","","","","","","","","",""
"Q6475553","","","","","","Lake Cumberland","","Lake Cumberland","","","","","","","","","","","","","","",""
"Q6474784","","","","","","Lake Anna","","lac Anna","","","","","","","","","","","","","","",""
"Q6474657","","","","","","Lake Abert","","Lake Abert","","","","","","","","","","","","","","",""
"Q6211835","","","","","","Joe Pool Lake","","Joe Pool Lake","","","","","","","","","","","","","","",""
"Q5658289","","","","","","Harlan County Reservoir","","Harlan County Reservoir","","","","","","","","","","","","","","",""
"Q5603135","","","","","","Green River Lake","","Green River Lake","","","","","","","","","","","","","","",""
"Q5597044","","","","","","Grapevine Lake","","Grapevine Lake","","","","","","","","","","","","","","",""
"Q5471549","","","","","","Fort Loudoun Lake","","Fort Loudoun Lake","","","","","","","","","","","","","","",""
"Q5465129","","","","","","Fontana Lake","","lac Fontana","","","","","","","","","","","","","","",""
"Q5444476","","","","","","Fern Ridge Reservoir","","Fern Ridge Reservoir","","","","","","","","","","","","","","",""
"Q5351188","","","","","","El Dorado Lake","","El Dorado Lake","","","","","","","","","","","","","","",""
"Q5301712","","","","","","Douglas Lake","","lac Douglas","","","","","","","","","","","","","","",""
"Q7095321","","","","","","Oologah Lake","","Oologah Lake","","","","","","","","","","","","","","",""
