"wd_id","wd_id_new","population","name_ar","name_bn","name_de","name_en","name_es","name_fr","name_el","name_hi","name_hu","name_id","name_it","name_ja","name_ko","name_nl","name_pl","name_pt","name_ru","name_sv","name_tr","name_vi","name_zh"
"Q81246","","","","","Sevier Lake","Sevier Lake","Lago Sevier","lac Sevier","","","","","lago Sevier","","","Sevier Lake","","","Севир","","","","塞维尔湖"
"Q81309","","","","","","Soda Lake","","Soda Lake","","","szikes tó","","Soda Lake","ソーダ湖","","Soda Lake","Soda Lake","","","","","","苏打湖"
"Q76122","","","سالار دو أويوني","","Salar de Uyuni","Salar de Uyuni","Salar de Uyuni","Salar d'Uyuni","Σαλάρ Ντε Ουγιούνι","सालार दे उयुनी","Salar de Uyuni","Salar de Uyuni","Salar de Uyuni","ウユニ","살라르 데 우유니","Salar de Uyuni","Salar de Uyuni","Salar de Uyuni","Солончак Уюни","Salar de Uyuni","Salar de Uyuni Gölü","Salar de Uyuni","烏尤尼鹽沼"
"Q272514","","","صحراء كوير","মধ্য ইরানের মরুপ্রায় ভূমি","Wüsten Afghanistans und des Iran","Dasht-e Kavir","Desierto de Kavir","Dasht-e Kavir","","","Dast-e Kavír","Dasht-e Kavir","Dasht-e Kavir","カヴィール砂漠","카비르 사막","Grote Zoutwoestijn","Wielka Pustynia Słona","Dasht-e Kavir","Деште-Кевир","Dasht-e Kavir","Kebir Çölü","","卡维尔盐漠"
"Q280231","","","","","Etosha-Pfanne","Etosha pan","","pan d'Etosha","","","","","Praterie alofile dell'Etosha Pan","エトーシャ塩湖","","","Etosza","","Этоша","","","","埃托沙鹽湖"
"Q295272","","","","","Namaksee","Namak Lake","Lago Namak","lac Namak","","","","","","ナマク湖","","","Darjacze-je Namak","","Дерьячейе-Немек","Daryā-ye Namak","","","納馬克湖"
"Q584255","","","شط ملغيغ","","Schott Melghir","Chott Melrhir","Chott Melrhir","Chott Melghir","","","Merlhir-sott","","Chott Melrhir","メルリール湖","","Chott Melrhir","Szatt Malghigh","","Мельгир","Chott Melrhir","Melrhir Tuz Gölü","","邁勒吉爾鹽湖"
"Q533041","","","حوض ماغاديكغادي","","Makgadikgadi-Salzpfannen","Makgadikgadi Pan","Salares de Makgadikgadi","Pan de Makgadikgadi","","","","","","マカディカディ塩湖","","Makgadikgadizoutvlaktes","","","Макгадикгади","Makgadikgadislätten","","","馬卡迪卡迪鹽沼"
"Q849143","","","شط الجريد","","Chott el Djerid","Chott el Djerid","Chott el Djerid","Chott el-Jérid","","","","","Chott el-Jerid","ジェリド湖","엘제리드 호","Sjott el-Djerid","Wielki Szott","Chott el Jerid","Эль-Джерид","Chott el Djerid","","","杰里德大盐湖"
"Q319412","","","بحيرة لوب نور","","Lop Nor","Lop Nur","Lop Nor","Lob Nor","","लोप नुर","Lop-nór","Lop Nur","Lop Nur","ロプノール","","Lob Nuur","Lob-nor","Lop Nor","Лобнор","Lop Nor","","Lop Nur","罗布泊"
"Q7332953","","","","","","Searles lake","","Searles Lake","","","","","","","","","","","Сёрлс","","","","瑟尔斯湖"
"Q1142015","","","","","Salar de Atacama","Salar de Atacama","Salar de Atacama","Salar d'Atacama","","","","","Salar de Atacama","アタカマ塩原","","Salar de Atacama","Salar de Atacama","Salar de Atacama","Салар-де-Атакама","Salar de Atacama","Salar de Atacama","","阿塔卡馬鹽沼"
"Q1548386","","","صحراء سولت لايك","","Große Salzwüste","Great Salt Lake Desert","Gran desierto del Lago Salado","","","","","","Deserto del Gran Lago Salato","グレートソルトレイク砂漠","","Great Salt Lake Desert","Wielka Pustynia Słona","Deserto do Grande Lago Salgado","Пустыня Большого Солёного Озера","","","","大鹽湖沙漠"
"Q195389","","","","","","Hamun-e Jaz Murian","","","","","","","","","","","Hamun-e Dżazmurijan","","Джаз-Муриан","","","",""
"Q590855","","","شط الغرسة","","Chott el Gharsa","Shatt al Gharsah","","Chott el-Gharsa","","","","","","","","","Szatt al-Gharsa","","Шотт-эль-Гарса","","","",""
"Q5674509","","","","","","","","","","","","","","","","","Darjacze-je Kaftar","","","","","",""
"Q5214976","","","بحيرة دانبي","","","Danby Lake","","Danby Lake","","","","","","","","","","","","","","",""
"Q5046961","","","","","","Carson Sink","","","","","","","Carson Sink","カーソンシンク","","","","","","","","",""
"Q2013950","","","","","","Godzareh depression","Goud-e-Zereh","Goud-e Zareh","","","","","","ゴードザリー低地","","Goud-e-Zereh","","","","","","",""
"Q4968942","","","بحيرة بريستول","","","Bristol Lake","","Bristol Lake","","","","","","","","Bristol Lake","","","","","","",""
"Q5105409","","","شط الفجاج","","Chott el Fedjadj","Chott el Fejej","","Chott el-Fejaj","","","","","","","","","","Chott el Fejaj","","","","",""
"Q4026866","","","","কচ্ছের রান","","Rann of Kutch","","Rann de Kutch","","","","","","カッチ湿地","","","","","Качский Ранн","Rann of Kutch","","",""
"Q1860815","","","","","Salar de Coipasa","","Salar de Coipasa","Salar de Coipasa","","","","","","","","Salar de Coipasa","","","Солончак Койпаса","Coipasa","","",""
"Q3643226","","","شط الشرقي","","","Chott Ech Chergui","Chott Ech Chergui","Chott ech Chergui","","","","","Chott Ech Chergui","","","Chott Ech Chergui","Asz-Szatt asz-Szarki","","","Chott ech Chergui","","",""
"Q3469637","","","","","","Salar de Arizaro","Salar de Arizaro","Salar d'Arizaro","","","","","","アリサロ塩原","","Salar de Arizaro","Salar de Arizaro","","","Salar de Arizaro","","",""
