"wd_id","status","variable","value_old","value_new"
"Q172089","MODvalue","name_en","Oka River","Oka"
"Q172089","MODvalue","name_en","Oka River","Oka"
"Q172089","MODvalue","name_en","Oka River","Oka"
"Q172089","MODvalue","name_en","Oka River","Oka"
"Q82812","MODvalue","name_en","Sukhona River","Sukhona"
"Q1540215","MODvalue","name_en","Snov River","Snov"
"Q2557120","MODvalue","name_en","Ilovlya River","Ilovlya"
"Q2557120","MODvalue","name_nl","Ilovlya River","Ilovlya"
"Q392760","MODvalue","name_en","Šventoji River","Šventoji"
"Q68939","MODvalue","name_en","Sakmara River","Sakmara"
"Q14520","MODvalue","name_en","Narcea River","Narcea"
"Q152661","NEWvalue","name_vi","","Salzach"
"Q30548","MODvalue","name_en","Hrazdan River","Hrazdan"
"Q726693","MODvalue","name_en","Ialomița River","Ialomița"
"Q726693","NEWvalue","name_el","","Ιαλομίτσα"
"Q649527","MODvalue","name_en","Samara River","Samara"
"Q14764","MODvalue","name_en","Esla river","Esla"
"Q11958206","MODvalue","name_en","River Annalee","Annalee"
"Q2542105","MODvalue","name_en","Krasivaya Mecha River","Krasivaya Mecha"
"Q2542105","MODvalue","name_nl","Krasivaya Mecha River","Krasivaya Mecha"
"Q19716","MODvalue","name_en","River Great Ouse","Great Ouse"
"Q12556970","MODvalue","name_en","Klyazma River","Klyazma"
"Q123362","NEWvalue","name_ko","","샤랑트강"
"Q1272368","MODvalue","name_en","Vindel River","Vindel"
"Q1996981","MODvalue","name_en","Akhurian River","Akhurian"
"Q1996981","NEWvalue","name_el","","Ποταμός Αχουριάν"
"Q1996981","MODvalue","name_nl","Akhurian River","Akhurian"
"Q20142","MODvalue","name_en","Mijares River","Mijares"
"Q503262","MODvalue","name_en","River Tweed","Tweed"
"Q192157","MODvalue","name_en","Belaya River","Belaya"
"Q778886","MODvalue","name_en","Vazuza River","Vazuza"
"Q15671","MODvalue","name_en","Zêzere River","Zêzere"
"Q2271889","MODvalue","name_en","Lainio River","Lainio"
"Q1419589","MODvalue","name_en","Merkys River","Merkys"
"Q214894","MODvalue","name_en","Timiş River","Timiş"
"Q1429579","MODvalue","name_de","Küddow","Gwda"
"Q1429579","NEWvalue","name_sv","","Gwda"
"Q598256","MODvalue","name_en","Ilek River","Ilek"
"Q153972","NEWvalue","name_ar","","نهر السار"
"Q1134536","MODvalue","name_en","Horyn River","Horyn"
"Q815250","MODvalue","name_en","Belaya River","Belaya"
"Q637310","MODvalue","name_en","Vashka River","Vashka"
"Q5620","MODvalue","name_en","Łyna River","Łyna"
"Q157736","NEWvalue","name_zh","","莫拉查河"
"Q1728986","NEWvalue","name_de","","Karasjohka"
"Q1728986","NEWvalue","name_en","","Karasjohka"
"Q1728986","NEWvalue","name_es","","Río Karasjohka"
"Q1728986","NEWvalue","name_fr","","Karasjohka"
"Q1728986","NEWvalue","name_it","","Karasjohka"
"Q1728986","NEWvalue","name_nl","","Karasjohka"
"Q1728986","NEWvalue","name_sv","","Kárášjohka älv"
"Q121538","MODvalue","name_en","Torne River","Torne"
"Q603664","NEWvalue","name_de","","Latorica"
"Q603664","NEWvalue","name_en","","Latorica"
"Q603664","NEWvalue","name_es","","Río Latorica"
"Q603664","NEWvalue","name_fr","","Latorica"
"Q603664","NEWvalue","name_hu","","Latorca"
"Q603664","NEWvalue","name_it","","Latorica"
"Q603664","NEWvalue","name_ja","","ラトリカ川"
"Q603664","NEWvalue","name_nl","","Latorica"
"Q603664","NEWvalue","name_pl","","Latorica"
"Q603664","NEWvalue","name_ru","","Латорица"
"Q603664","NEWvalue","name_zh","","拉托里察河"
"Q16669","MODvalue","name_en","Sado River","Sado"
"Q1139404","MODvalue","name_en","Msta River","Msta"
"Q1139404","NEWvalue","name_pl","","Msta"
"Q82776","MODvalue","name_en","Terek River","Terek"
"Q208302","MODvalue","name_en","Siret River","Siret"
"Q846744","NEWvalue","name_ko","","호르나트 강"
"Q1757262","MODvalue","name_en","Uzh River","Uzh"
"Q630136","MODvalue","name_en","Arboga River","Arboga"
"Q649527","MODvalue","name_en","Samara River","Samara"
"Q153945","NEWvalue","name_ko","","리페 강"
"Q45248","NEWvalue","name_de","","Úhlava"
"Q45248","NEWvalue","name_en","","Úhlava"
"Q45248","NEWvalue","name_fr","","Úhlava"
"Q45248","NEWvalue","name_nl","","Úhlava"
"Q45248","NEWvalue","name_ru","","Углава"
"Q45248","NEWvalue","name_sv","","Úhlava"
"Q45248","NEWvalue","name_zh","","烏赫拉瓦河"
"Q23152","MODvalue","name_en","Cinca River","Cinca"
"Q15656","MODvalue","name_en","Mondego River","Mondego"
"Q833164","MODvalue","name_en","Buzău River","Buzău"
"Q1576907","MODvalue","name_en","Sal River","Sal"
"Q1798377","MODvalue","name_en","Kasplya River","Kasplya"
"Q784682","MODvalue","name_en","Sozh River","Sozh"
"Q784682","MODvalue","name_nl","Sozh River","Sozh"
"Q784682","MODvalue","name_en","Sozh River","Sozh"
"Q784682","MODvalue","name_nl","Sozh River","Sozh"
"Q784682","MODvalue","name_en","Sozh River","Sozh"
"Q784682","MODvalue","name_nl","Sozh River","Sozh"
"Q1133858","MODvalue","name_en","Mologa River","Mologa"
"Q1133858","MODvalue","name_en","Mologa River","Mologa"
"Q1047568","MODvalue","name_en","Shelon River","Shelon"
"Q257785","MODvalue","name_en","Kızılırmak River","Kızılırmak"
"Q1130713","MODvalue","name_en","Kem River","Kem"
"Q1366569","MODvalue","name_en","Malka River","Malka"
"Q1261492","MODvalue","name_en","Drut River","Drut"
"Q1145293","MODvalue","name_en","Yeşilırmak River","Yeşilırmak"
"Q1145293","MODvalue","name_nl","Yeşilırmak River","Yeşilırmak"
"Q215397","MODvalue","name_en","Venta River","Venta"
"Q14750","MODvalue","name_en","Adaja river","Adaja"
"Q179015","MODvalue","name_en","Västerdal River","Västerdal"
"Q792016","MODvalue","name_en","Begna River","Begna"
"Q1342847","MODvalue","name_en","Samur River","Samur"
"Q631049","NEWvalue","name_el","","Αρκ"
"Q19695","MODvalue","name_en","River Wye","Wye"
"Q738408","MODvalue","name_en","Assa River","Assa"
"Q175612","MODvalue","name_en","Shosha River","Shosha"
"Q3572165","MODvalue","name_en","Filyos River","Filyos"
"Q3560044","MODvalue","name_en","Loudias River","Loudias"
"Q211766","MODvalue","name_el","Λο","Λοτ"
"Q2720896","MODvalue","name_en","Porsuk River","Porsuk"
"Q2720896","MODvalue","name_nl","Porsuk River","Porsuk"
"Q467419","MODvalue","name_en","Vetluga River","Vetluga"
"Q3021654","MODvalue","name_en","Delice River","Delice"
"Q23550","MODvalue","name_en","Velikaya River","Velikaya"
"Q890526","MODvalue","name_en","Kymi River","Kymi"
"Q2474304","MODvalue","name_en","Bolshaya Laba River","Bolshaya Laba"
"Q213230","NEWvalue","name_ko","","흐론 강"
"Q783444","MODvalue","name_en","Someşul Cald River","Someşul Cald"
"Q211089","MODvalue","name_en","Büyük Menderes River","Büyük Menderes"
"Q1455991","NEWvalue","name_ar","","نيس الشرقي"
"Q1136609","MODvalue","name_en","Styr River","Styr"
"Q214811","MODvalue","name_en","Argeș River","Argeș"
"Q637994","MODvalue","name_en","Someșul Mare River","Someșul Mare"
"Q637994","MODvalue","name_nl","Someșul Mare River","Someșul Mare"
"Q815462","MODvalue","name_en","Pärnu River","Pärnu"
"Q815462","NEWvalue","name_el","","Πάρνου"
"Q16663","MODvalue","name_en","Alagón River","Alagón"
