"wd_id","wd_id_new","population","name_ar","name_bn","name_de","name_en","name_es","name_fr","name_el","name_hi","name_hu","name_id","name_it","name_ja","name_ko","name_nl","name_pl","name_pt","name_ru","name_sv","name_tr","name_vi","name_zh"
"Q2622731","","","","","Drissa","","","","","","","","","","","","Dryssa","","Дрисса","Drysa","","","德里薩河"
"Q2984979","","","","","Ula","Ula","","Oulla","","","","","","","","","Uła","","Улла","Ula","","","烏拉河"
"Q1798377","","","","","Kasplja","Kasplya River","Río Kasplia","Kasplia","","","","","","カースプリャ川","","Kasplja","Kaspla","","Каспля","Kasplja","","","卡斯普利亞河"
"Q1813407","","","","","Iput","Iput River","","Ipout","","","","","","イプチ川","","Ipoet","Ipuć","","Ипуть","Iput","","","伊普季河"
"Q2271889","","","","","","Lainio River","","","","","","","","","","Lainiorivier","","","","Lainioälven","","","莱尼奥河"
"Q14750","","","","","Adaja","Adaja river","Adaja","Adaja","","","","","Adaja","アダーハ川","","Adaja","","Rio Adaja","Адаха","","Adaja","",""
"Q421630","","","","","Aksu Çayı","Aksu River","Río Aksu","Aksu Nehri","","","","","Aksu Nehri","","","","","","Аксу","","Aksu Çayı","",""
"Q396585","","","","","Agrianes","Ergene","Río Ergene","Ergene","","","","","","エルゲン川","","Ergene","Ergene","","","","Ergene","",""
"Q26475","","","","","Treska","Treska","Río Treska","Treska","","","Treska","","Treska","","","Treska","Treska","","Треска","Treska","Treska","",""
"Q3572165","","","","","Filyos Çayı","Filyos River","","Yenice Irmağı","","","Filyos","","","","","","","","","","Filyos Çayı","",""
"Q3021654","","","","","Delice Çayı","Delice River","","Delice Irmağı","","","Delice","","","","","","","","","","Delice Irmağı","",""
"Q849296","","","","","Bregalnica","Bregalnica","Río Bregalnica","Bregalnitsa","","","Bregalnica","","","ブレガニツァ川","","","Bregałnica","","Брегальница","Bregalnica","Bregalnica Nehri","",""
"Q447783","","","","","Waldnaab","Waldnaab","","Waldnaab","","","","","","","","Waldnaab","","","Вальднаб","","","",""
"Q738408","","","","","Assa","Assa River","Río Asa","","","","","","","","","","","","Асса","","","",""
"Q869541","","","","","Warme Steinach","Warme Steinach","","Warme Steinach","","","","","","","","Warme Steinach","","","Варме-Штайнах","","","",""
"Q631049","","","","","Arc","Arc","Arc","Arc","Αρκ","","","Arc","Arc","アルク川","","Arc","Arc","Rio Arc","Арк","","","",""
"Q637994","","","","","Someșul Mare","Someșul Mare River","","Someșul Mare","","","Nagy-Szamos","","","","","Someșul Mare River","Wielki Samosz","","","","","",""
"Q783444","","","","","","Someşul Cald River","","","","","Meleg-Szamos","","","","","","","","","","","",""
"Q11958206","","","","","","River Annalee","","","","","","","","","","","","","","","","",""
"Q1538332","","","","","Hallingdalselva","Hallingdalselva","","Hallingdalselva","","","","","","","","Hallingdalselva","","","","","","",""
"Q1364212","","","","","Renaelva","Renaelva","","Renaelva","","","","","","","","Renaelva","","","","","","",""
"Q690960","","","","","Grote Gete","","","Grande Gette","","","","","","","","Grote Gete","","","","","","",""
"Q71609","","","","","Salto","Salto","","Salto","","","","","Salto","","","Salto","","","","","","",""
"Q3560044","","","","","Loudias","Loudias River","Río Lidias","","Λουδίας","","","","","","","","","","","Loudías Potamós","","",""
"Q3396347","","","","","River Swale","River Swale","Río Swale","Swale","","","","","","","","River Swale","","","","River Swale","","",""
"Q24326189","","","","","","","","","","","","","","","","","","","","Kymijoki","","",""
"Q1420630","","","","","Lågen","Numedalslågen","Numedalslågen","Numedalslågen","","","","","Numedalslågen","","","Numedalslågen","Numedalslågen","","Логен","Numedalslågen","","",""
"Q1429579","","","","","Gwda","Gwda","","Gwda","","","","","Gwda","","","Gwda","Gwda","","Гвда","Gwda","","",""
"Q1518561","","","","","Namsen","Namsen","Río Namsen","Namsen","","","","","Namsen","","","Namsen","","","Намсен","Namsen","","",""
"Q1808066","","","","","Otta","Otta","","Otta","","","","","","","","Otta","","Rio Otta","Отта","Otta","","",""
"Q1728986","","","","","Karasjohka","Karasjohka","Río Karasjohka","Karasjohka","","","","","Karasjohka","","","Karasjohka","","","","Kárášjohka älv","","",""
"Q1633982","","","","","Könkämäeno","Könkämäeno","","Könkämäeno","","","","","","","","Könkämärivier","","","","Könkämäälven","","",""
"Q1140644","","","","","Crna Reka","Crna","Crna","Tsrna","Εριγώνας","","Crna Reka","","","","","","Crna Reka","","Црна-Река","Crna Reka","","",""
"Q1066857","","","","","Sitnica","Sitnica","","Sitnica","","","Sitnica","","Sitnica","","","Sitnica","Sitnica","","Ситница","Sitnica","","",""
"Q792016","","","","","Begna","Begna River","","Begna","","","Begna","","","","","Begna","","","","Begna","","",""
"Q433744","","","","","Altaelv","Altaelva","Río de Alta","Altaelva","","","Altaelva","","Alta","アルタ川","","Altaelva","","","Алтаэльв","Altaälven","","",""
"Q763066","","","","","Moson-Donau","","","","","","Mosoni-Duna","","","","","Moson-Donau","Dunaj Moszoński","","","Mosoni-Duna","","",""
"Q630136","","","","","Arbogaån","Arboga River","","","","","","","","","","","Arbogaån","","","Arbogaån","","",""
"Q458829","","","","","Faxälven","Faxälven","","","","","","","","","","Faxälven","","","","Faxälven","","",""
"Q15671","","","","","Rio Zêzere","Zêzere River","Zêzere","Zêzere","","","Zêzere","","Zêzere","ゼゼレ川","","Zêzere","Zêzere","Rio Zêzere","Зезере","Zêzere","","",""
"Q15656","","","","","Mondego","Mondego River","Mondego","Mondego","","","Mondego","","Mondego","モンデゴ川","몬데구 강","Mondego","Mondego","Mondego","Мондегу","Mondego","Mondego Nehri","","蒙德古河"
"Q20054","","","","","Cabriel","Cabriel","Cabriel","Cabriel","","","","","Cabriel","カブリエル川","","Cabriel","","","","","","","卡夫列爾河"
"Q20142","","","","","Mijares","Mijares River","Mijares","Mijares","","","","","Mijares","ミハレス川","","Mijares","","","","","","","米哈雷斯河"
"Q23550","","","","","Welikaja","Velikaya River","Río Velíkaya","Velikaïa","","","","","Velikaja","ヴェリーカヤ川","벨리카야 강","Velikaja","Wielikaja","Rio Velikaya","Великая","","","","韋利卡亞河"
"Q23798","","","","","Eure","Eure","Eure","Eure","","","Eure","","Eure","ウール川","외르 강","Eure","Eure","Rio Eure","Эр","","","","厄尔河"
"Q552","","","الأودر","ওডার নদী","Oder","Oder","Óder","Oder","Όντερ","","Odera","Sungai Oder","Oder","オーデル川","오데르 강","Oder","Odra","Rio Oder","Одра","Oder","Oder Nehri","Oder","奧得河"
"Q30548","","","","","Hrasdan","Hrazdan River","Río Hrazdan","Hrazdan","Ποταμός Ραζντάν","","Hrazdan","","fiume Hrazdan","フラズダン川","","Hrazdan","Hrazdan","","Раздан","Hrazdan","Hrazdan Nehri","","賀拉茲丹河"
"Q82776","","","تيريك","","Terek","Terek River","Térek","Terek","","","","","Terek","テレク川","테레크 강","Terek","Terek","Rio Terek","Терек","Terek","Terek Irmağı","","捷列克河"
"Q63090","","","","","Waga","Vaga","Vaga","Vaga","","","Vaga","","Vaga","","","Waga","Waga","","Вага","","","","瓦加河"
"Q144928","","","","","Zala","Zala","Río Zala","Zala","","","Zala","Sungai Zala","Zala","ザラ川","절러 강","Zala","Zala","","Зала","Zala","Zala Nehri","","佐洛河"
"Q121538","","","","","Torne älv","Torne River","Río Torne","Torne","","","Tornionjoki","","Torne","トルネ川","","Torne älv","Torne","Rio Torne","Турнеэльвен","Torne älv","Torne Nehri","","托尔讷河"
"Q82812","","","","","Suchona","Sukhona River","Río Sújona","Soukhona","","","Szuhona","","Suchona","スホナ川","","Soechona","Suchona","","Сухона","","","","蘇霍納河"
"Q626","","","فولغا","ভোলগা নদী","Wolga","Volga","Volga","Volga","Βόλγας","वोल्गा नदी","Volga","Sungai Volga","Volga","ヴォルガ川","볼가 강","Wolga","Wołga","Rio Volga","Волга","Volga","Volga Nehri","Sông Volga","伏尔加河"
"Q1644","","","إلبه","","Elbe","Elbe","río Elba","Elbe","Έλβας","","Elba","Elbe","Elba","エルベ川","엘베 강","Elbe","Łaba","Rio Elba","Эльба","Elbe","Elbe Nehri","Elbe","易北河"
"Q158847","","","","","Sauer","Sauer","Sûre","Sûre","","","","","Sûre","ザウアー川","자우어 강","Sûre","Sûre","Rio Sûre","Зауэр","Sûre","Sauer Nehri","","绍尔河"
"Q171009","","","درافا","","Drau","Drava","Drava","Drave","Ντράβα","","Dráva","","Drava","ドラーヴァ川","드라바 강","Drau","Drawa","Rio Drava","Драва","Drava","Drava","","德拉瓦河"
"Q149393","","","","","Zwickauer Mulde","Zwickau Mulde","","Zwickauer Mulde","","","","","","","","Zwickau Mulde","Zwickauer Mulde","","Цвиккауэр-Мульде","","","","茨維考穆爾德河"
"Q168904","","","","","Vechte","Vechte","","Overijsselse Vecht","","","","","","フェクト川","","Overijsselse Vecht","Vechte","","Фехте","","","","費希特河"
"Q5620","","","","","Alle","Łyna River","Alle","Alle","","","","","Alle","アーレ川","위나 강","Łyna","Łyna","","Лава","Łyna","","","維納河"
