"shapefilename","var","value"
"./10m_physical/ne_10m_rivers_europe.shp","New_name","108"
"./10m_physical/ne_10m_rivers_europe.shp","Deleted_name","0"
"./10m_physical/ne_10m_rivers_europe.shp","Modified_name","245"
"./10m_physical/ne_10m_rivers_europe.shp","Empty_name","5012"
"./10m_physical/ne_10m_rivers_europe.shp","Same_name","5513"
"./10m_physical/ne_10m_rivers_europe.shp","Wikidataid_redirected","0"
"./10m_physical/ne_10m_rivers_europe.shp","Wikidataid_notfound","0"
"./10m_physical/ne_10m_rivers_europe.shp","Wikidataid_null","816"
"./10m_physical/ne_10m_rivers_europe.shp","Wikidataid_notnull","518"
"./10m_physical/ne_10m_rivers_europe.shp","Wikidataid_badformated","0"
