"wd_id","wd_id_new","population","name_ar","name_bn","name_de","name_en","name_es","name_fr","name_el","name_hi","name_hu","name_id","name_it","name_ja","name_ko","name_nl","name_pl","name_pt","name_ru","name_sv","name_tr","name_vi","name_zh"
"Q1057961","","","نهر جيحان","","Ceyhan","Ceyhan River","Río Ceyhan","Ceyhan","","","","","Ceyhan","ジェイハン川","","Ceyhan River","Ceyhan","","Джейхан","","Ceyhan Nehri","",""
"Q3181444","","","","","Simav Çayı","Simav River","Río Simav","Simav Çayı","","","Simav","","Simav","シマブ川","","Simav River","","Rio Simav","Симав","","Simav Çayı","",""
"Q939958","","","","","Tonle Sap","","","","","","","","","","","Tonlé Sap","Tonle Sap","","Тонлесап","","","",""
"Q1430986","","","النهر الأبيض","","Sefid Rud","Sefīd-Rūd","Río Sefid","Sefid Roud","","","","","Sefid-Rud","","","Sefīd-Rūd","Sefid Rud","","Сефидруд","","","",""
"Q1569192","","","","","Sagavanirktok River","Sagavanirktok River","","Sagavanirktok","","","","","","","","Sagavanirktok River","","","Сагаваниркток","","","",""
"Q2076850","","","نهر الغراف","","","Shatt al-Hayy","","","","","","","","","","","","","Шатт аль-Хай","","","",""
"Q3285958","","","","","","Maningory River","","Maningory","","","","","","","","Maningory","Maningory","","Манингури","","","",""
"Q4140059","","","","","Notwane","Notwane River","","","","","","","","","","","","","Нотване","","","",""
"Q1152951","","","نيديرراين","","Nederrijn","Nederrijn","","Rhin inférieur","","","","","Nederrijn","ネーデルライン川","","Nederrijn","Dolny Ren","Rio Reno Baixo","Недеррейн","","","",""
"Q2981909","","","","","","Jutai River","Río Jutaí","","","","","","","","","","","Rio Jutaí","Жутаи","","","",""
"Q4787012","","","","","","Ogun River","","Ogun","","","","","","","","","Ogun","","","","","",""
"Q6947510","","","","","","Myittha River","","","","","","","","","","","Myittha Kyaung","","","","","",""
"Q27149993","","","","","","Batevito River","Río Batevito","","","","","","","","","","","","","","","",""
"Q16919845","","","","","","Indaiá River","","","","","","","","","","","","","","","","",""
"Q16821611","","","","","","Mogalakwena River","","","","","","","","","","","","","","","","",""
"Q15265425","","","","","","Pardo River","","","","","","","","","","","","","","","","",""
"Q5299143","","","","","","Dos Bois River","","","","","","","","","","","","","","","","",""
"Q1557811","","","","","Gwayi","Gwayi River","","","","","","","","","","","","","","","","",""
"Q4790864","","","","","","Shangani River","","Shangani","","शंगानी नदी","","","","","","","","","","","","",""
"Q1661830","","","","","Indravati","Indravati River","Río Indravati","Indravati","","इंद्रावती नदी","","","","","","","","","","","","",""
"Q2412334","","","","","","Meade River","","Meade","","","","","","","","Meade River","","","","","","",""
"Q2173757","","","","","Parbati","Parbati River","","Parbati","","","","","","","","Parbati","","","","","","",""
"Q952046","","","","","Umzingwani","","","","","","","","","","","Umzingwani","","","","","","",""
"Q1781219","","","","","Rokel","Rokel River","","Rokel","","","","","Rokel","","","Rokel","Rokel","Rio Rokel","","","","",""
