"shapefilename","var","value"
"./10m_physical/ne_10m_rivers_lake_centerlines.shp","New_name","3290"
"./10m_physical/ne_10m_rivers_lake_centerlines.shp","Deleted_name","3437"
"./10m_physical/ne_10m_rivers_lake_centerlines.shp","Modified_name","7828"
"./10m_physical/ne_10m_rivers_lake_centerlines.shp","Empty_name","8516"
"./10m_physical/ne_10m_rivers_lake_centerlines.shp","Same_name","2822"
"./10m_physical/ne_10m_rivers_lake_centerlines.shp","Wikidataid_redirected","0"
"./10m_physical/ne_10m_rivers_lake_centerlines.shp","Wikidataid_notfound","0"
"./10m_physical/ne_10m_rivers_lake_centerlines.shp","Wikidataid_null","222"
"./10m_physical/ne_10m_rivers_lake_centerlines.shp","Wikidataid_notnull","1233"
"./10m_physical/ne_10m_rivers_lake_centerlines.shp","Wikidataid_badformated","0"
