"wd_id","status","variable","value_old","value_new"
"Q1143331","DELvalue","name_en","Cuito",""
"Q1143331","NEWvalue","name_pl","","Cuito"
"Q1143331","MODvalue","name_pt","Cuito","Rio Cuito"
"Q1143331","DELvalue","name_ru","Rio Cuito",""
"Q1143331","DELvalue","name_en","Cuito",""
"Q1143331","NEWvalue","name_pl","","Cuito"
"Q1143331","MODvalue","name_pt","Cuito","Rio Cuito"
"Q1143331","DELvalue","name_ru","Rio Cuito",""
"Q1143331","DELvalue","name_en","Cuito",""
"Q1143331","NEWvalue","name_pl","","Cuito"
"Q1143331","MODvalue","name_pt","Cuito","Rio Cuito"
"Q1143331","DELvalue","name_ru","Rio Cuito",""
"Q1143331","DELvalue","name_en","Cuito",""
"Q1143331","NEWvalue","name_pl","","Cuito"
"Q1143331","MODvalue","name_pt","Cuito","Rio Cuito"
"Q1143331","DELvalue","name_ru","Rio Cuito",""
"Q23208733","DELvalue","name_es","Bagoé",""
"Q23208733","NEWvalue","name_nl","","Bagoé"
"Q23208733","DELvalue","name_pl","Bagoé",""
"Q23208733","NEWvalue","name_sv","","Bagoé"
"Q23208733","DELvalue","name_tr","Bagoé",""
"Q23208733","DELvalue","name_es","Bagoé",""
"Q23208733","NEWvalue","name_nl","","Bagoé"
"Q23208733","DELvalue","name_pl","Bagoé",""
"Q23208733","NEWvalue","name_sv","","Bagoé"
"Q23208733","DELvalue","name_tr","Bagoé",""
"Q23208733","DELvalue","name_es","Bagoé",""
"Q23208733","NEWvalue","name_nl","","Bagoé"
"Q23208733","DELvalue","name_pl","Bagoé",""
"Q23208733","NEWvalue","name_sv","","Bagoé"
"Q23208733","DELvalue","name_tr","Bagoé",""
"Q23208733","DELvalue","name_es","Bagoé",""
"Q23208733","NEWvalue","name_nl","","Bagoé"
"Q23208733","DELvalue","name_pl","Bagoé",""
"Q23208733","NEWvalue","name_sv","","Bagoé"
"Q23208733","DELvalue","name_tr","Bagoé",""
"Q23208733","DELvalue","name_es","Bagoé",""
"Q23208733","NEWvalue","name_nl","","Bagoé"
"Q23208733","DELvalue","name_pl","Bagoé",""
"Q23208733","NEWvalue","name_sv","","Bagoé"
"Q23208733","DELvalue","name_tr","Bagoé",""
"Q23208733","DELvalue","name_es","Bagoé",""
"Q23208733","NEWvalue","name_nl","","Bagoé"
"Q23208733","DELvalue","name_pl","Bagoé",""
"Q23208733","NEWvalue","name_sv","","Bagoé"
"Q23208733","DELvalue","name_tr","Bagoé",""
"Q23208733","DELvalue","name_es","Bagoé",""
"Q23208733","NEWvalue","name_nl","","Bagoé"
"Q23208733","DELvalue","name_pl","Bagoé",""
"Q23208733","NEWvalue","name_sv","","Bagoé"
"Q23208733","DELvalue","name_tr","Bagoé",""
"Q23208733","DELvalue","name_es","Bagoé",""
"Q23208733","NEWvalue","name_nl","","Bagoé"
"Q23208733","DELvalue","name_pl","Bagoé",""
"Q23208733","NEWvalue","name_sv","","Bagoé"
"Q23208733","DELvalue","name_tr","Bagoé",""
"Q4786970","DELvalue","name_es","Hadejia River",""
"Q4786970","DELvalue","name_es","Hadejia River",""
