"wd_id","status","variable","value_old","value_new"
"Q847785","MODvalue","name_de","Colorado River","Colorado"
"Q847785","MODvalue","name_en","Colorado River","Colorado"
"Q847785","MODvalue","name_nl","Colorado River","Colorado"
"Q1092055","MODvalue","name_de","Cimarron River","Cimarron"
"Q1092055","MODvalue","name_en","Cimarron River","Cimarron"
"Q1092055","MODvalue","name_nl","Cimarron River","Cimarron"
"Q2993598","MODvalue","name_de","Washita River","Washita"
"Q2993598","MODvalue","name_en","Washita River","Washita"
"Q2993598","MODvalue","name_pl","Washita River","Washita"
"Q2993598","MODvalue","name_de","Washita River","Washita"
"Q2993598","MODvalue","name_en","Washita River","Washita"
"Q2993598","MODvalue","name_pl","Washita River","Washita"
"Q5159475","MODvalue","name_en","Conecuh River","Conecuh"
"Q7157190","MODvalue","name_en","Pea River","Pea"
"Q4272077","MODvalue","name_en","Choctawhatchee River","Choctawhatchee"
"Q3348721","MODvalue","name_en","Ochlockonee River","Ochlockonee"
"Q6651678","MODvalue","name_en","Little River","Little"
"Q2386134","MODvalue","name_en","Satilla River","Satilla"
"Q2830643","MODvalue","name_en","Alapaha River","Alapaha"
"Q130012","MODvalue","name_en","Ogeechee River","Ogeechee"
"Q1050460","MODvalue","name_de","Catawba River","Catawba"
"Q1050460","MODvalue","name_en","Catawba River","Catawba"
"Q1050460","MODvalue","name_nl","Catawba River","Catawba"
"Q6708487","MODvalue","name_en","Lynches River","Lynches"
"Q6708487","MODvalue","name_nl","Lynches River","Lynches"
"Q6651298","MODvalue","name_en","Little Pee Dee River","Little Pee Dee"
"Q6651298","MODvalue","name_nl","Little Pee Dee River","Little Pee Dee"
"Q1034421","MODvalue","name_de","Cape Fear River","Cape Fear"
"Q1034421","MODvalue","name_en","Cape Fear River","Cape Fear"
"Q1034421","MODvalue","name_nl","Cape Fear River","Cape Fear"
"Q2913438","MODvalue","name_de","Eno River","Eno"
"Q2913438","MODvalue","name_en","Eno River","Eno"
"Q5250264","MODvalue","name_en","Deep River","Deep"
"Q5250264","MODvalue","name_nl","Deep River","Deep"
"Q1159151","MODvalue","name_de","Dan River","Dan"
"Q1159151","MODvalue","name_en","Dan River","Dan"
"Q1159151","MODvalue","name_fr","Dan River","Dan"
"Q1159151","MODvalue","name_hu","Dan River","Dan"
"Q1159151","MODvalue","name_nl","Dan River","Dan"
"Q841725","MODvalue","name_de","Tar River","Tar"
"Q841725","MODvalue","name_en","Tar River","Tar"
"Q841725","MODvalue","name_fr","Tar River","Tar"
"Q841725","MODvalue","name_nl","Tar River","Tar"
"Q6809486","MODvalue","name_de","Meherrin River","Meherrin"
"Q6809486","MODvalue","name_en","Meherrin River","Meherrin"
"Q6809486","MODvalue","name_nl","Meherrin River","Meherrin"
"Q7063766","MODvalue","name_en","Nottoway River","Nottoway"
"Q7063766","MODvalue","name_nl","Nottoway River","Nottoway"
"Q4431935","MODvalue","name_en","South River","South"
"Q4431935","MODvalue","name_nl","South River","South"
"Q1428859","MODvalue","name_de","Flint River","Flint"
"Q1428859","MODvalue","name_en","Flint River","Flint"
"Q1428859","MODvalue","name_it","Flint River","Flint"
"Q1424101","MODvalue","name_de","Tallapoosa River","Tallapoosa"
"Q1424101","MODvalue","name_en","Tallapoosa River","Tallapoosa"
"Q968071","MODvalue","name_de","Etowah River","Etowah"
"Q968071","MODvalue","name_en","Etowah River","Etowah"
"Q5158226","MODvalue","name_en","Conasauga River","Conasauga"
"Q7193324","MODvalue","name_en","Pigeon River","Pigeon"
"Q7193324","MODvalue","name_nl","Pigeon River","Pigeon"
"Q478303","MODvalue","name_de","French Broad River","French Broad"
"Q478303","MODvalue","name_en","French Broad River","French Broad"
"Q478303","MODvalue","name_nl","French Broad River","French Broad"
"Q1775363","MODvalue","name_de","Nolichucky River","Nolichucky"
"Q1775363","MODvalue","name_en","Nolichucky River","Nolichucky"
"Q1775363","MODvalue","name_nl","Nolichucky River","Nolichucky"
"Q2933076","MODvalue","name_en","Cahaba River","Cahaba"
"Q6933808","MODvalue","name_en","Mulberry Fork of the Black Warrior River","Mulberry Fork of the Black Warrior"
"Q1810486","MODvalue","name_de","Leaf River","Leaf"
"Q1810486","MODvalue","name_en","Leaf River","Leaf"
"Q1201857","MODvalue","name_de","Yazoo River","Yazoo"
