"wd_id","wd_id_new","population","name_ar","name_bn","name_de","name_en","name_es","name_fr","name_el","name_hi","name_hu","name_id","name_it","name_ja","name_ko","name_nl","name_pl","name_pt","name_ru","name_sv","name_tr","name_vi","name_zh"
"Q847785","","","","","Colorado River","Colorado River","Río Colorado","Colorado","","","Colorado","","Colorado del Texas","コロラド川","","Colorado River","Colorado","Rio Colorado","Колорадо","Coloradofloden","Colorado Nehri","",""
"Q841725","","","","","Tar River","Tar River","","Tar River","","","","","","","","Tar River","","","Тар","","","",""
"Q594295","","","","","Malheur River","Malheur River","Río Malheur","rivière Malheur","","","","","","","","Malheur","","","Малур","","","",""
"Q478303","","","","","French Broad River","French Broad River","Río French Broad","French Broad","","","","","","","","French Broad River","","","Френч-Брод","","","",""
"Q1108022","","","","","Saint Francis River","St. Francis River","Río Saint Francis","Saint Francis","","","","","Saint Francis","セントフランシス川","","St. Francis River","Saint Francis River","","Сент-Фрэнсис","","","",""
"Q1262279","","","","","Sevier River","Sevier River","Río Sevier","Sevier","","","","","Sevier","セヴィア川","","Sevier River","Sevier","","Севир","","","",""
"Q1160000","","","","","Tug Fork","Tug Fork","Río Tug Fork","Tug Fork","","","Tug Fork","","","","","","","","Таг-Форк","","","",""
"Q652618","","","","","Duck River","Duck River","","Duck","","","","","","","","","Duck River","","Дак-Ривер","","","",""
"Q745070","","","","","","Salt River","","","","","","","","ソルト川","","","Salt River","","Солт","","","",""
"Q948470","","","","","Baluarte","Baluarte River","","Rio Baluarte","","","","","","","","","","","Рио Балуарте","","","",""
"Q964437","","","","","Neches River","Neches River","Río Neches","Neches","","","","","Neches","ナチェス川","","Neches River","","","Нечес","","","",""
"Q1034421","","","كيب فير","","Cape Fear River","Cape Fear River","Río Cape Fear","Cape Fear","","","","","","","","Cape Fear River","","Rio Cape Fear","Кейп-Фир","","","",""
"Q891080","","","","","Boise River","Boise River","Río Boise","Boise","","","","","","","","Boise River","","Rio Boise","Бойсе","","","",""
"Q927116","","","","","Little Missouri River","Little Missouri River","Río Pequeño Misuri","Petit Missouri","","","","","","リトルミズーリ川","","Little Missouri River","","Rio Little Missouri","Малая Миссури","","","",""
"Q2041614","","","","","Ouachita River","Ouachita River","Río Ouachita","Ouachita","","","","","Ouachita","ワシタ川","","Ouachita River","Ouachita River","","Уошито","","","",""
"Q1646498","","","","","Little Sioux River","Little Sioux River","","","","","","","","リトルスー川","","","","","Литл-Су","","","",""
"Q2993598","","","","","Washita River","Washita River","","Washita","","","","","","","","","Washita River","","Уошито","","","",""
"Q2340104","","","","","Guyandotte River","Guyandotte River","","Guyandotte","","","","","","","","","Guyandotte River","","Гайандотт","","","",""
"Q2126786","","","","","White River","White River","Río White","White River","","","","","","","","White River","White River","","Уайт-Ривер","","","",""
"Q4453762","","","","","","Taylor River","","","","","","","","","","","","","Тейлор","","","",""
"Q4148407","","","","","","Greybull River","","","","","","","","","","","","","Грейбулл","","","",""
"Q4086416","","","","","","Big Wood River","","","","","","","","","","","","","Биг-Вуд","","","",""
"Q2343949","","","","","","Santa Cruz River","Río Santa Cruz","rivière Santa Cruz","","","","","","","","","","","Санта-Крус","","","",""
"Q4107580","","","","","","Verde River","Río Verde","Verde","","","","","","","","","","","Верде","","","",""
"Q2933076","","","","","","Cahaba River","","Cahaba","","","","","","","","","","","Кахаба","","","",""
"Q2926582","","","","ব্রুনাইউ নদী","","Bruneau River","","Bruneau","","","","","","","","","","","Бруно","","","",""
"Q2277445","","","","","Shavers Fork","Shavers Fork","","Shavers Fork","","","","","","","","Shavers Fork","","","Шейверс-Форк","","","",""
"Q2451378","","","","","","San Pedro River","Río San Pedro","","","","San Pedro River","","Fiume San Pedro","","","San Pedro River","","","Сан-Педро","","","",""
"Q2332765","","","","","San Pedro Fluss","San Pedro River","Río San Pedro","","","","Río San Pedro","","","","","San Pedro","San Pedro","Rio San Pedro","Сан-Педро","","","",""
"Q968071","","","","","Etowah River","Etowah River","","","","","","","","","","","Etowah","","","","","",""
"Q750839","","","","","Platte River","Platte River","","","","","","","","","","","Platte","","","","","",""
"Q3348721","","","","","","Ochlockonee River","Río Ochlockonee","Ochlockonee","","","","","","","","","Ochlockonee","","","","","",""
"Q5364109","","","","","","Elk River","","Elk","","","","","","","","","Elk River","","","","","",""
"Q1470734","","","","","Youghiogheny River","Youghiogheny River","","Youghiogheny River","","","","","","","","Youghiogheny River","Youghiogheny","","","","","",""
"Q2054792","","","","","","Pamunkey River","","Pamunkey River","","","","","Pamunkey River","","","Pamunkey","Pamunkey","","","","","",""
"Q2599098","","","","","Yalobusha River","Yalobusha River","","Yalobusha River","","","","","","","","Yalobusha River","Yalobusha","","","","","",""
"Q9372502","","","","","","Wichita River","","","","","","","","","","Wichita River","Wichita","","","","","",""
"Q1042217","","","","","","Big Black River","Río Big Black","Big Black","","","","","","ビッグ・ブラックリバー","빅블랙 강","","","","","","","",""
"Q2830643","","","","","","Alapaha River","","Alapaha","","","Alapaha","","","","","","","","","","","",""
"Q7414617","","","","","","San Juan River","Río Sabinas","","","","","","","","","","","","","","","",""
"Q4736170","","","","","","Altar River","Río Altar","","","","","","","","","","","","","","","",""
"Q2179131","","","","","Río Magdalena","","","","","","","","","","","","","","","","","",""
"Q1931858","","","","","Middle Fork Holston River","","","","","","","","","","","","","","","","","",""
"Q2712738","","","","","Boyer River","Boyer River","","","","","","","","","","","","","","","","",""
"Q5595036","","","","","Grand River","Grand River","","","","","","","","","","","","","","","","",""
"Q5364110","","","","","Elk River","Elk River","","","","","","","","","","","","","","","","",""
"Q7795771","","","","","Thompson River","Thompson River","","","","","","","","","","","","","","","","",""
"Q7413564","","","","","San Cristobal Wash","San Cristobal Wash","","","","","","","","","","","","","","","","",""
"Q6652407","","","","","Little Wabash River","Little Wabash River","","","","","","","","","","","","","","","","",""
"Q24761469","","","","","","Petit Jean River","","","","","","","","","","","","","","","","",""
"Q17087144","","","","","","Rolling Fork","","","","","","","","","","","","","","","","",""
"Q16899736","","","","","","San Simon River","","","","","","","","","","","","","","","","",""
"Q14711868","","","","","","San Pitch River","","","","","","","","","","","","","","","","",""
"Q14687265","","","","","","Pahsimeroi River","","","","","","","","","","","","","","","","",""
"Q8054249","","","","","","Yockanookany River","","","","","","","","","","","","","","","","",""
"Q7568327","","","","","","South River","","","","","","","","","","","","","","","","",""
"Q7567278","","","","","","South Fork of the Grand River","","","","","","","","","","","","","","","","",""
"Q7335325","","","","","","Rio San Rodrigo","","","","","","","","","","","","","","","","",""
"Q7335302","","","","","","Rio Pesquería","","","","","","","","","","","","","","","","",""
"Q7294242","","","","","","Rapidan Dam Canal of the Rappahannock Navigation","","","","","","","","","","","","","","","","",""
"Q7272287","","","","","","Quinn River","","","","","","","","","","","","","","","","",""
"Q7157190","","","","","","Pea River","","","","","","","","","","","","","","","","",""
"Q7056518","","","","","","North River","","","","","","","","","","","","","","","","",""
"Q7055396","","","","","","North Fork of the Grand River","","","","","","","","","","","","","","","","",""
"Q6933808","","","","","","Mulberry Fork of the Black Warrior River","","","","","","","","","","","","","","","","",""
"Q6931648","","","","","","Muddy Creek","","","","","","","","","","","","","","","","",""
"Q6651678","","","","","","Little River","","","","","","","","","","","","","","","","",""
"Q6651668","","","","","","Little River","","","","","","","","","","","","","","","","",""
"Q5681137","","","","","","Hatchie River","","","","","","","","","","","","","","","","",""
"Q5351071","","","","","","El Corte River","","","","","","","","","","","","","","","","",""
"Q5180854","","","","","","Craig Creek","","","","","","","","","","","","","","","","",""
"Q5158226","","","","","","Conasauga River","","","","","","","","","","","","","","","","",""
"Q5059228","","","","","","Centennial Wash","","","","","","","","","","","","","","","","",""
"Q5056614","","","","","","Cedar Creek","","","","","","","","","","","","","","","","",""
"Q5015966","","","","","","Cache River","","","","","","","","","","","","","","","","",""
"Q4905972","","","","","","Big Lost River","","","","","","","","","","","","","","","","",""
"Q4879575","","","","","","Beech Fork","","","","","","","","","","","","","","","","",""
"Q476664","","","","","Sarabia","Sarabia River","","","","","","","","","","","","","","","","",""
"Q3569503","","","","","","Withlacoochee River","","Withlacoochee","","","","","","","","","","","","","","",""
"Q2386134","","","","","","Satilla River","","Satilla","","","","","","","","","","","","","","",""
"Q1810486","","","","","Leaf River","Leaf River","","Leaf","","","","","","","","","","","","","","",""
"Q1681774","","","","","Turkey River","Turkey River","","Turkey","","","","","","","","","","","","","","",""
"Q1334957","","","","","Embarras River","Embarras River","","Embarras","","","","","","","","","","","","","","",""
"Q130012","","","","","","Ogeechee River","Río Ogeechee","Ogeechee","","","","","","","","","","","","","","",""
"Q206710","","","","","Powell River","Powell River","","Powell","","","","","","","","","","","","","","",""
"Q5159475","","","","","","Conecuh River","","","","","","","","コネーク川","","","","","","","","",""
"Q8665483","","","","","","Black River","","Black River","","","","","","ブラック川","","","","","","","","",""
"Q6649195","","","","","","Little Blue River","Río Little Blue","","","","","","","リトルブルー川","","","","","","","","",""
"Q3458794","","","","","","Sinaloa River","Río Sinaloa","Río Sinaloa","","","","","","シナロア川","","","","","","","","",""
"Q4431935","","","","","","South River","","","","","","","","","","South River","","","","","","",""
"Q7193324","","","","","","Pigeon River","Río Pigeon","Pigeon","","","","","","","","Pigeon River","","","","","","",""
"Q6809486","","","","","Meherrin River","Meherrin River","","Meherrin","","","","","","","","Meherrin River","","","","","","",""
"Q6117354","","","نهر جاكسون","","","Jackson River","","Jackson","","","","","","","","Jackson River","","","","","","",""
"Q5250264","","","","","","Deep River","","Deep","","","","","","","","Deep River","","","","","","",""
"Q3966983","","","","","","Spoon River","","","","","","","Spoon","スプーン川","","Spoon River","","","","","","",""
"Q2913438","","","","","Eno River","Eno River","","rivière Eno","","","","","","","","Eno","","","","","","",""
"Q3373802","","","","","","Peace River","","Peace River","","","","","","","","Peace River","","","","","","",""
"Q2319307","","","","","","Owens River","","Owens","","","","","Owens","オーエンズ川","","Owens River","","","","","","",""
"Q1921090","","","","","Meramec River","Meramec River","","Meramec","","","","","","","","Meramec River","","","","","","",""
"Q1916292","","","","","Medicine Lodge River","Medicine Lodge River","","Medicine Lodge River","","","","","","","","Medicine Lodge River","","","","","","",""
"Q177627","","","","","Smoky Hill River","Smoky Hill River","Río Smoky Hill","Smoky Hill","","","","","","スモーキーヒル川","","","","","Смоки-Хилл","","","","斯莫基希尔河"
"Q606566","","","","","","Licking River","","Licking","","","","","","","","","Licking River","","Ликинг","","","","利金河"
"Q827561","","","","","Río Ameca","Ameca River","Río Ameca","","","","","","","アメカ川","","Ameca","Ameca","","","","","","阿梅卡河"
"Q813478","","","","","Beaver Creek","Beaver Creek","","Beaver Creek","","","","","Beaver Creek","","","Beaver Creek","","","","","","","河狸溪"
"Q866712","","","","","Laramie River","Laramie River","Río Laramie","Laramie River","","","","","","","","Laramie River","Laramie","Rio Laramie","Ларами","Laramie River","","","拉勒米河"
"Q671902","","","","","Little Kanawha River","Little Kanawha River","","Little Kanawha","","","","","","","","","","","Литл-Канова","Little Kanawha River","","","小卡诺瓦河"
"Q246570","","","","","Great Miami River","Great Miami River","","Great Miami","","","","","","","","Great Miami River","","","Майами-Ривер","Great Miami River","","","大迈阿密河"
"Q492787","","","","","Des Moines River","Des Moines River","Río Des Moines","Des Moines","","","","","Des Moines","デモイン川","디모인 강","Des Moines River","Des Moines River","","Де-Мойн","Des Moines River","","","得梅因河"
"Q943521","","","","","","Verdigris River","Río Verdigris","Verdigris","","","","","Verdigris","","","Verdigris River","Verdigris","","Вердигриз","","","","弗迪格里斯河"
"Q1159151","","","","","Dan River","Dan River","","Dan River","","","Dan River","","","","","Dan River","","","","","","","丹河"
"Q1124558","","","","","Niobrara River","Niobrara River","Río Niobrara","Niobrara","","","Niobrara","","Niobrara","","","Niobrara River","","","Ниобрара","Niobrara","","","奈厄布拉勒河"
"Q1424101","","","","","Tallapoosa River","Tallapoosa River","Río Tallapoosa","Tallapoosa","","","","","","","","","","","","Tallapoosafloden","","","塔拉普薩河"
"Q1092055","","","","","Cimarron River","Cimarron River","Río Cimarrón","Cimarron","","","","","Cimarron","シマロン川","","Cimarron River","Cimarron","","Симаррон","","","","锡马龙河"
"Q1101503","","","","","Clinch River","Clinch River","Río Clinch","Clinch","","","","","","クリンチ川","","Clinch River","","","Клинч","","","","克林奇河"
