"shapefilename","var","value"
"./10m_physical/ne_10m_rivers_north_america.shp","New_name","140"
"./10m_physical/ne_10m_rivers_north_america.shp","Deleted_name","0"
"./10m_physical/ne_10m_rivers_north_america.shp","Modified_name","6627"
"./10m_physical/ne_10m_rivers_north_america.shp","Empty_name","42934"
"./10m_physical/ne_10m_rivers_north_america.shp","Same_name","6936"
"./10m_physical/ne_10m_rivers_north_america.shp","Wikidataid_redirected","3"
"./10m_physical/ne_10m_rivers_north_america.shp","Wikidataid_notfound","0"
"./10m_physical/ne_10m_rivers_north_america.shp","Wikidataid_null","2563"
"./10m_physical/ne_10m_rivers_north_america.shp","Wikidataid_notnull","2697"
"./10m_physical/ne_10m_rivers_north_america.shp","Wikidataid_badformated","0"
