"wd_id","wd_id_new","population","name_ar","name_bn","name_de","name_en","name_es","name_fr","name_el","name_hi","name_hu","name_id","name_it","name_ja","name_ko","name_nl","name_pl","name_pt","name_ru","name_sv","name_tr","name_vi","name_zh"
"Q1162","","1382611","أروناجل برديش","অরুণাচল প্রদেশ","Arunachal Pradesh","Arunachal Pradesh","Arunachal Pradesh","Arunachal Pradesh","Αρουνάτσαλ Πραντές","अरुणाचल प्रदेश","Arunácsal Prades","Arunachal Pradesh","Arunachal Pradesh","アルナーチャル・プラデーシュ州","아루나찰프라데시 주","Arunachal Pradesh","Arunachal Pradesh","Arunachal Pradesh","Аруначал-Прадеш","Arunachal Pradesh","Arunaçhal Pradesh","Arunachal Pradesh","阿鲁纳恰尔邦"
"Q6250","","586000","الصحراء الغربية","পশ্চিম সাহারা","Westsahara","Western Sahara","Sahara Occidental","Sahara occidental","Δυτική Σαχάρα","पश्चिमी सहारा","Nyugat-Szahara","Sahara Barat","Sahara Occidentale","西サハラ","서사하라","Westelijke Sahara","Sahara Zachodnia","Saara Ocidental","Западная Сахара","Västsahara","Batı Sahra","Tây Sahara","西撒哈拉"
"Q7835","","2340921","القرم","ক্রিমিয়া","Krim","Crimean Peninsula","península de Crimea","Crimée","Κριμέα","क्रीमिया","Krím","Krimea","Crimea","クリミア半島","크림 반도","Krim","Krym","Crimeia","Крымский полуостров","Krim","Kırım Yarımadası","bán đảo Krym","克里米亚"
"Q23334","","242000","أبخازيا","আবখাজিয়া","Abchasien","Abkhazia","Abjasia","Abkhazie","Αμπχαζία","अबख़ाज़िया","Abházia","Abkhazia","Abcasia","アブハジア","압하지야","Abchazië","Abchazja","Abecásia","Абхазия","Abchazien","Abhazya","Abkhazia","阿布哈茲"
"Q23427","","53532","أوسيتيا الجنوبية","দক্ষিণ অসেটিয়া","Südossetien-Alanien","South Ossetia","Osetia del Sur","Ossétie du Sud-Alanie","Νότια Οσετία","दक्षिण ओसेतिया","Dél-Oszétia","Ossetia Selatan","Ossezia del Sud","南オセチア","남오세티야","Zuid-Ossetië","Osetia Południowa","Ossétia do Sul","Южная Осетия","Sydossetien","Güney Osetya","Nam Ossetia","南奥塞梯"
"Q23681","","313626","قبرص الشمالية","তুর্কী উত্তর সাইপ্রাস প্রজাতন্ত্র","Türkische Republik Nordzypern","Turkish Republic of Northern Cyprus","República Turca del Norte de Chipre","Chypre du Nord","Τουρκική Δημοκρατία της Βόρειας Κύπρου","उत्तरी साइप्रस","Észak-Ciprus","Republik Turki Siprus Utara","Cipro del Nord","北キプロス・トルコ共和国","북키프로스","Noord-Cyprus","Cypr Północny","República Turca de Chipre do Norte","Турецкая Республика Северного Кипра","Nordcypern","Kuzey Kıbrıs Türk Cumhuriyeti","Bắc Síp","北賽普勒斯土耳其共和國"
"Q34754","","4500000","صوماليلاند","সোমালিল্যান্ড","Somaliland","Somaliland","Somalilandia","Somaliland","Σομαλιλάνδη","सोमालीदेश","Szomáliföld","Somaliland","Somaliland","ソマリランド","소말릴란드","Somaliland","Somaliland","Somalilândia","Сомалиленд","Somaliland","Somaliland","Somaliland","索马里兰"
"Q43100","","","كشمير","কাশ্মীর","Kaschmir","Kashmir","Cachemira","Cachemire","Κασμίρ","कश्मीर","Kasmír","Kashmir","Kashmir","カシミール","카슈미르","Jammu en Kasjmir","Dżammu i Kaszmir","Caxemira","Кашмир","Kashmir","Keşmir","Kashmir","克什米尔"
"Q80389","","","جزر الكوريل","কুরিল দ্বীপপুঞ্জ","Kurilen","Kuril Islands","Islas Kuriles","îles Kouriles","Κουρίλες","कुरील द्वीप समूह","Kuril-szigetek","Kepulauan Kuril","Isole Curili","千島列島","쿠릴 열도","Koerilen","Wyspy Kurylskie","Ilhas Curilas","Курильские острова","Kurilerna","Kuril Adaları","Quần đảo Kuril","千島群島"
"Q44302","","","قرة باغ","নাগোরনো-কারাবাখ","Bergkarabach","Nagorno-Karabakh","Nagorno Karabaj","Haut-Karabagh","Ναγκόρνο-Καραμπάχ","नागोर्नो-काराबाख़","Hegyi-Karabah","Nagorno-Karabakh","Nagorno Karabakh","ナゴルノ・カラバフ","나고르노카라바흐","Nagorno-Karabach","Górski Karabach","Nagorno-Karabakh","Нагорный Карабах","Nagorno-Karabach","Dağlık Karabağ","Nagorno-Karabakh","納戈爾諾-卡拉巴赫"
"Q83210","","","هضبة الجولان","গোলান মালভূমি","Golanhöhen","Golan Heights","Altos del Golán","Golan","Υψώματα του Γκολάν","golan","Golán-fennsík","Dataran Tinggi Golan","Alture del Golan","ゴラン高原","골란 고원","Golanhoogten","Wzgórza Golan","Colinas de Golã","Голанские высоты","Golanhöjderna","Golan Tepeleri","Cao nguyên Golan","戈蘭高地"
