"wd_id","wd_id_new","population","name_ar","name_bn","name_de","name_en","name_es","name_fr","name_el","name_hi","name_hu","name_id","name_it","name_ja","name_ko","name_nl","name_pl","name_pt","name_ru","name_sv","name_tr","name_vi","name_zh"
"Q32","","543360","لوكسمبورغ","লুক্সেমবুর্গ","Luxemburg","Luxembourg","Luxemburgo","Luxembourg","Λουξεμβούργο","लक्ज़मबर्ग","Luxemburg","Luksemburg","Lussemburgo","ルクセンブルク","룩셈부르크","Luxemburg","Luksemburg","Luxemburgo","Люксембург","Luxemburg","Lüksemburg","Luxembourg","卢森堡"
"Q228","","79218","أندورا","অ্যান্ডোরা","Andorra","Andorra","Andorra","Andorre","Ανδόρρα","अण्डोरा","Andorra","Andorra","Andorra","アンドラ","안도라","Andorra","Andora","Andorra","Андорра","Andorra","Andorra","Andorra","安道尔"
"Q233","","423374","مالطا","মাল্টা","Malta","Malta","Malta","Malte","Μάλτα","माल्टा","Málta","Malta","Malta","マルタ","몰타","Malta","Malta","Malta","Мальта","Malta","Malta","Malta","马耳他"
"Q235","","37831","موناكو","মোনাকো","Monaco","Monaco","Mónaco","Monaco","Μονακό","मोनैको","Monaco","Monako","Principato di Monaco","モナコ","모나코","Monaco","Monako","Mónaco","Монако","Monaco","Monako","Monaco","摩纳哥"
"Q237","","1000","الفاتيكان","ভ্যাটিকান সিটি","Vatikanstadt","Vatican City","Ciudad del Vaticano","Vatican","Βατικανό","वैटिकन नगर","Vatikán","Vatikan","Città del Vaticano","バチカン","바티칸 시국","Vaticaanstad","Watykan","Vaticano","Ватикан","Vatikanstaten","Vatikan","Thành Vatican","梵蒂冈"
"Q238","","31595","سان مارينو","সান মারিনো","San Marino","San Marino","San Marino","Saint-Marin","Άγιος Μαρίνος","सान मारिनो","San Marino","San Marino","San Marino","サンマリノ","산마리노","San Marino","San Marino","San Marino","Сан-Марино","San Marino","San Marino","San Marino","圣马力诺"
"Q334","","5888926","سنغافورة","সিঙ্গাপুর","Singapur","Singapore","Singapur","Singapour","Σιγκαπούρη","सिंगापुर","Szingapúr","Singapura","Singapore","シンガポール","싱가포르","Singapore","Singapur","Singapura","Сингапур","Singapore","Singapur","Singapore","新加坡"
"Q244","","284644","باربادوس","বার্বাডোস","Barbados","Barbados","Barbados","Barbade","Μπαρμπάντος","बारबाडोस","Barbados","Barbados","Barbados","バルバドス","바베이도스","Barbados","Barbados","Barbados","Барбадос","Barbados","Barbados","Barbados","巴巴多斯"
"Q347","","37468","ليختنشتاين","লিশটেনস্টাইন","Liechtenstein","Liechtenstein","Liechtenstein","Liechtenstein","Λίχτενσταϊν","लिक्टेन्स्टाइन","Liechtenstein","Liechtenstein","Liechtenstein","リヒテンシュタイン","리히텐슈타인","Liechtenstein","Liechtenstein","Liechtenstein","Лихтенштейн","Liechtenstein","Lihtenştayn","Liechtenstein","列支敦斯登"
"Q398","","1332171","البحرين","বাহরাইন","Bahrain","Bahrain","Baréin","Bahreïn","Μπαχρέιν","बहरीन","Bahrein","Bahrain","Bahrein","バーレーン","바레인","Bahrein","Bahrajn","Bahrein","Бахрейн","Bahrain","Bahreyn","Bahrain","巴林"
"Q672","","9876","توفالو","টুভালু","Tuvalu","Tuvalu","Tuvalu","Tuvalu","Τουβαλού","तुवालू","Tuvalu","Tuvalu","Tuvalu","ツバル","투발루","Tuvalu","Tuvalu","Tuvalu","Тувалу","Tuvalu","Tuvalu","Tuvalu","吐瓦魯"
"Q678","","105323","تونغا","টোঙ্গা","Tonga","Tonga","Tonga","Tonga","Τόνγκα","टोंगा","Tonga","Tonga","Tonga","トンガ","통가","Tonga","Tonga","Tonga","Тонга","Tonga","Tonga","Tonga","東加"
