"wd_id","wd_id_new","population","name_ar","name_bn","name_de","name_en","name_es","name_fr","name_el","name_hi","name_hu","name_id","name_it","name_ja","name_ko","name_nl","name_pl","name_pt","name_ru","name_sv","name_tr","name_vi","name_zh"
"Q370750","","","نهر سافانا","","Savannah River","Savannah River","Río Savannah","Savannah","","","","","Savannah","サバンナ川","서배너 강","Savannah River","Savannah","Rio Savannah","Саванна","","","",""
"Q968640","","","","","Klamath River","Klamath River","Río Klamath","Klamath","","","","","Klamath","クラマス川","","Klamath","","Rio Klamath","Кламат","","","",""
"Q1421418","","","","","Fitzroy River","Fitzroy River","","Fitzroy","","","","","Fitzroy","","","Fitzroy","Fitzroy","","Фицрой","","","",""
"Q1333747","","","","","Holston River","Holston River","Río Holston","Holston","","","","","","","","Holston River","","","Холстон","","","",""
"Q1369180","","","","","Sulinaarm","Sulina branch","","Bras de Sulina","","","","","","","","Sulina-arm","","","Сулинское гирло","","","",""
"Q1344617","","","","","Kilijaarm","Chilia branch","","Bras de Chilia","","","","","","","","Chilia-arm","Kilia","Braço de Chilia","Килийское гирло","","","",""
"Q1668781","","","","","St. Georg","Sfântu Gheorghe branch","","Bras de Saint Georges","","","","","","","","","","","Георгиевское гирло","","","",""
"Q1760800","","","","","Pit River","Pit River","Río Pit","Pit","","","","","","ピット川","","Pit","","Rio Pit","Пит","","","",""
"Q2076850","","","نهر الغراف","","","Shatt al-Hayy","","","","","","","","","","","","","Шатт аль-Хай","","","",""
"Q13359982","","","","","Daly River","Daly River","","Daly River","","","","","Daly","","","","","","","","","",""
"Q2459279","","","","","Tugaloo River","Tugaloo River","","Tugaloo","","","","","","","","","","","","","","",""
"Q1644776","","","","","Rio Culuene","Culuene River","","Rio Culuene","","","","","Rio Culuene","","","Culuene River","","","","","","",""
"Q2061230","","","","","Pee Dee River","Pee Dee River","Río Pee Dee","Pee Dee","","","","","","","","Pee Dee River","","","","","","",""
"Q5299851","","","","","","Double Mountain Fork Brazos River","","","","","","","","","","","","Rio Double Mountain Fork Brazos","","","","",""
"Q834880","","","","","Chattooga River","Chattooga River","","Chattooga","","","","","","","","Chattooga River","","Rio Chattooga","","","","",""
"Q2416760","","","","","Thelon River","Thelon River","Río Thelon","rivière Thelon","","","","","Thelon","セロン川","","Thelon River","Thelon","Rio Thelon","Телон","Thelon River","","",""
"Q3501984","","","","","","Lesser Abay River","","","","","","","","小アバイ川","","","","Rio Lesser Abay","","Lesser Abay River","","",""
"Q2028742","","","نهر الأورد","","Ord River","Ord River","","Ord River","","","","","","","","Ord River","Ord","","Орд","Ord River","","",""
"Q575695","","","","","Digul","Digul","","Digul","","","","","Digul","ディグル川","","Digoel","Digul","","Дигул","Sungai Digul","","",""
"Q1241991","","","","","Albany River","Albany River","Río Albany","rivière Albany","","","","","Albany","オールバニー川","","Albany River","Albany","Rio Albany","Олбани","Albany River","","",""
"Q427437","","","","","Rivière Rupert","Rupert River","Río Rupert","rivière Rupert","","","","","Rupert","","","Rupert River","Rupert","","Руперт","Rivière Rupert","","",""
"Q291233","","","","","Churchill River","Churchill River","Río Churchill","fleuve Churchill","","","","","Fiume Churchill","チャーチル川","","Churchill River","Churchill","","Черчилл","Churchillfloden","","",""
"Q1131514","","","","","Coppermine River","Coppermine River","Río Coppermine","rivière Coppermine","","कापरमाइन नदी","","","","コッパーマイン川","","Coppermine River","","Rio Coppermine","Коппермайн","Copperminefloden","","",""
"Q947477","","","","","Madison River","Madison River","Río Madison","Madison","","","","","","","매디슨 강","Madison River","Madison","Rio Madison","Мадисон","Madison River","","",""
"Q979518","","","نهر باريتو","","","Barito River","Río Barito","Barito","","बरितो नदी","","Sungai Barito","Barito","バリト川","","Barito","Barito","","Барито","Barito","","",""
"Q798339","","","","","Back River","Back River","Río Back","rivière Back","","","","","Back","バック川","","Back River","Back","","Бак","Back River","","",""
"Q576337","","","","","Vorma","Vorma","Río Vorma","Vorma","","","","","","","","Vorma","","","Ворма","Vorma","","",""
"Q639478","","","","","Rio Javaés","Javaés River","","","","","","","","","","","","Rio Javaés","","Rio Javaés","","",""
"Q2216","","","نهر أتاباسكا","","Athabasca River","Athabasca River","río Athabasca","rivière Athabasca","","","","","Athabasca","アサバスカ川","","Athabasca","Athabaska","Rio Athabasca","Атабаска","Athabascafloden","","","阿萨巴斯卡河"
"Q2220","","","","","Peace River","Peace River","Río de la Paz","rivière de la Paix","","","Peace-folyó","","Peace","ピース川","피스 강","Peace River","Peace","Rio Peace","Пис","Peace River","","","皮斯河"
"Q548","","","فيستولا","ভিস্তুলা নদী","Weichsel","Vistula","Río Vístula","Vistule","Βιστούλας","विस्चुला नदी","Visztula","Sungai Vistula","Vistola","ヴィスワ川","비스와 강","Wisła","Wisła","Rio Vístula","Висла","Wisła","Vistül","Wisla","维斯瓦河"
"Q3047","","","","","Saskatchewan River","Saskatchewan River","Río Saskatchewan","rivière Saskatchewan","","","Saskatchewan","","Saskatchewan","サスカチュワン川","서스캐처원 강","Saskatchewan","Saskatchewan","Rio Saskatchewan","Саскачеван","Saskatchewan River","","","萨斯喀彻温河"
"Q2242","","","","","South Saskatchewan River","South Saskatchewan River","Río Saskatchewan Sur","rivière Saskatchewan Sud","","","","","South Saskatchewan","サウスサスカチュワン川","사우스서스캐처원 강","South Saskatchewan River","Saskatchewan Południowy","Rio South Saskatchewan","Саут-Саскачеван","South Saskatchewan River","","","南萨斯喀彻温河"
"Q10965","","","أبرة","","Ebro","Ebro","Ebro","Èbre","Έβρος","","Ebro","Ebro","Ebro","エブロ川","에브로 강","Ebro","Ebro","Rio Ebro","Эбро","Ebro","Ebro","Ebro","埃布羅河"
"Q8197","","","نهر دفينا","","Düna","Daugava River","Daugava","Daugava","Νταουγκάβα","डुगावा नदी","Daugava","Sungai Daugava","Daugava","ダウガヴァ川","다우가바 강","Westelijke Dvina","Dźwina","Rio Duína Ocidental","Западная Двина","Daugava","Daugava Nehri","Sông Tây Dvina","道加瓦河"
"Q14294","","","نهر تاجة","","Tajo","Tamgus","Tajo","Tage","Τάγος","","Tajo","Tagus","Tago","タホ川","타구스 강","Taag","Tag","Rio Tejo","Тахо","Tajo","Tejo Nehri","Tagus","塔霍河"
"Q584","","","راين","রাইন নদী","Rhein","Rhine","Rhin","Rhin","Ρήνος","राइन नदी","Rajna","Rhein","Reno","ライン川","라인 강","Rijn","Ren","Rio Reno","Рейн","Rhen","Ren Nehri","Rhine","莱茵河"
"Q626","","","فولغا","ভোলগা নদী","Wolga","Volga","Volga","Volga","Βόλγας","वोल्गा नदी","Volga","Sungai Volga","Volga","ヴォルガ川","볼가 강","Wolga","Wołga","Rio Volga","Волга","Volga","Volga Nehri","Sông Volga","伏尔加河"
"Q26076","","","نهر إيراوادي","","Irrawaddy","Irrawaddy River","Irawadi","Irrawaddy","","इरावती नदी","Iravádi","Sungai Irrawaddy","Irrawaddy","エーヤワディー川","이라와디 강","Irrawaddy","Irawadi","Rio Irauádi","Иравади","Irrawaddy","İravadi Nehri","Sông Ayeyarwaddy","伊洛瓦底江"
"Q18451","","","","","Ariège","Ariège","Ariège","Ariège","Αριέζ","","Ariège","Sungai Ariège","Ariège","アリエージュ川","","Ariège","Ariège","Rio Ariège","Арьеж","","","","阿列日河"
"Q14299","","","دويرو","দোরু নদী","Douro","Douro","Duero","Douro","Δούρος","दयोरो","Duero","","Duero","ドウロ川","도루 강","Douro","Duero","Douro","Дуэро","Duero","Douro Nehri","Sông Douro","杜罗河"
"Q645","","","نهر نيفا","","Newa","Neva","Nevá","Neva","Νέβας","","Néva","Sungai Neva","Neva","ネヴァ川","네바 강","Neva","Newa","Rio Neva","Нева","Neva","Neva Nehri","Sông Neva","涅瓦河"
"Q31379","","","","","La Grande Rivière","La Grande River","Río La Grande","la Grande Rivière","","","","","","ラグランデ川","","La Grande","La Grande Rivière","","Ла-Гранд","La Grande Rivière","","","拉格朗德河"
"Q26439","","","","","Argun","Argun River","Río Argún","Argoun","","अर्गुन नदी","Arguny","","Argun'","アルグン川","아르군 강","Argoen","Argun","Rio Argun","Аргунь","Argun","Argun Nehri","Sông Argun","额尔古纳河"
"Q899","","","قناة السويس","সুয়েজ খাল","Sueskanal","Suez Canal","canal de Suez","canal de Suez","Διώρυγα Σουέζ","स्वेज़ नहर","Szuezi-csatorna","Terusan Suez","Canale di Suez","スエズ運河","수에즈 운하","Suezkanaal","Kanał Sueski","Canal de Suez","Суэцкий канал","Suezkanalen","Süveyş Kanalı","Kênh đào Suez","苏伊士运河"
"Q34589","","","الفرات","ফোরাত","Euphrat","Euphrates","Éufrates","Euphrate","Ευφράτης","फ़रात नदी","Eufrátesz","Sungai Efrat","Eufrate","ユーフラテス川","유프라테스 강","Eufraat","Eufrat","Rio Eufrates","Евфрат","Eufrat","Fırat","Euphrates","幼发拉底河"
"Q1229","","","نهر الدون","","Don","Don","Río Don","Don","Ντον","दोन नदी","Don","Sungai Don","Don","ドン川","돈 강","Don","Don","Rio Don","Дон","Don","Don Nehri","Sông Đông","頓河"
"Q973","","","أوبي","ওব নদী","Ob","Ob","Obi","Ob","Ομπ","ओब नदी","Ob","Sungai Ob","Ob'","オビ川","오비 강","Ob","Ob","Rio Ob","Обь","Ob","Obi Nehri","Sông Obi","鄂畢河"
"Q35591","","","دجلة","দজলা","Tigris","Tigris","Tigris","Tigre","Τίγρης ποταμός","दजला नदी","Tigris","Sungai Tigris","Tigri","チグリス川","티그리스 강","Tigris","Tygrys","Rio Tigre","Тигр","Tigris","Dicle Nehri","Tigris","底格里斯河"
"Q1265","","","نهر كولورادو","","Colorado River","Colorado River","Colorado","Colorado","Κολοράντο","कोलोरेडो नदी","Colorado","Sungai Colorado","Colorado","コロラド川","콜로라도 강","Colorado","Kolorado","Colorado","Колорадо","Coloradofloden","Kolorado Nehri","Sông Colorado","科羅拉多河"
"Q40059","","","نهر الأردن","জর্দান নদী","Jordan","Jordan River","Río Jordán","Jourdain","Ιορδάνης ποταμός","जॉर्डन नदी","Jordán","Sungai Yordan","Giordano","ヨルダン川","요르단 강","Jordaan","Jordan","Rio Jordão","Иордан","Jordan","Şeria Nehri","Sông Jordan","约旦河"
